Title#0,"""Основы Брейвера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>Задание １：フォトンアーツのジャストアタック<br>課題２：カウンター訓練<br>課題３：カタナのギア訓練<br>課題４：肩越し視点でバレットボウの使用<br>課題５：実戦訓練"""
SimpleExplanation#0,"""Выполните 5 заданий!"""
Training1#0,"""Используйте Just Attack ФА"""
Training2#0,"""カウンターを成功させる"""
Training3#0,"""ギアをためてカウンター成功"""
Training4#0,"""肩越し視点で弱点部位を狙う"""
Training5#0,"""Уничтожьте противников"""
Retry_1#0,"""Задание 1"""
Retry_2#0,"""Задание 2"""
Retry_3#0,"""Задание 3"""
Retry_4#0,"""Задание 4"""
Retry_5#0,"""Задание 5"""
