Title#0,"""Особая тренеровка： Эпизод 2"""
Explanation#0,"""Это учебный квест для VR тренировок.<br>Главная цель - дойти до конечной<br>местности за отведённое время.<br>Вы пройдёте через различные события,<br>повстречавшихся ARKS, например,<br>появление Дарк Фальц [Лузера].<br>Тщательно проработайте план<br>в соответствии со своими возможностями.<br>――――――――――――――――――――<br>Лимит времени: 15мин.<br>Максимальный урон: 999999"""
SimpleExplanation#0,"""Победите всех врагов!"""
NpcComMsg1#0,"""И так, начинаем<br>особую тренеровку.<br>Все готовы?"""
NpcComMsg2#0,"""Сражайтесь до тех пор,<br>пока не победите последнего<br>врага или не закончится время.<br>Обратите внимание,<br>что сложность изменилась."""
NpcComMsg3#0,"""Хорошо, мы начинаем перенос.<br>Постарайтесь!"""
Area0S#0,"""Побережье, местность 1"""
Area0L#0,"""Планета Вопар - Побережье, местность 1"""
Area1S#0,"""Побережье, местность 2"""
Area1L#0,"""Планета Вопар - Побережье, местность 2"""
Area2S#0,"""Морское дно, местность 3"""
Area2L#0,"""Планета Вопар - Морское дно, местность 3"""
Area3S#0,"""Внутри материнского корабля, местность 4"""
Area3L#0,"""Зараженный мат. корабль - внутри мат. корабля, местн. 4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
