name_7663#0,"""Sharkey."""
ssn_011140_0010#0,"""Veo que todavía eres nuevo en esta Central."""
ssn_011140_0020#0,"""Puedes volver cuando hayas perfeccionado un poco más tus habilidades."""
ssn_011140_0030#0,"""He estado esperando. Soy Sharkey, instructora de la clase Gunner"""
ssn_011140_0040#0,"""Como ARKS, pareces estar mejorando constantemente tus habilidades."""
ssn_011140_0045#0,"""Si quieres aprender el arte de la lucha, puedo enseñarte. ¿En qué clase te gustaría escuchar las técnicas de lucha?"""
ssn_011140_0050#0,"""De acuerdo. Si cambias de opinión, avísame."""
ssn_011140_0060#0,"""Deberías estar entrenando."""
ssn_011140_0070#0,"""Es la única manera de mejorar."""
ssn_011140_0101#0,"""¿Cómo te fue? Por lo que se ve, parece que has tenido una buena respuesta.r."""
ssn_011140_0102#0,"""La clave del combate sigue siendo las habilidades de clase. Las habilidades amplían el alcance de la batalla."""
ssn_011140_0103#0,"""Es bueno adquirir experiencia. Cada vez lo harás mejor."""
ssn_011140_0104#0,"""Cuento con ello."""
