name_7663#0,"""Sharkey."""
ssn_011141_0001#0,"""Okay. Deja que te lo explique"""
ssn_011141_0101#0,"""Yo diría, pero no creo que tu<br>clase sea ranger."""
ssn_011141_0102#0,"""Si quieres aprender a luchar, ve al contador de clases y cambia tu clase a Ranger."""
ssn_011141_0103#0,"""Recuerda la habilidad de clase del Ranger"""
ssn_011141_0104#0,"""Pero déjame explicar algo sobre los Rangers."""
ssn_011141_0201#0,"""El Ranger es una clase que destaca por sus disparos a larga distancia."""
ssn_011141_0202#0,"""Puedes luchar con seguridad porque puedes mantener la distancia con los enemigos"""
ssn_011141_0203#0,"""Y, lo que es más importante, habilidades de clase."""
ssn_011141_0204#0,"""Lo primero que debes dominar es Week Bullet. Es eficaz cuando se lucha contra enemigos difíciles."""
ssn_011141_0205#0,"""Puedes probarlo en el campo. Vamos a darles una tarea de formación."""
