name_7663#0,"""Sharkey."""
ssn_005130_0001#0,"""Eres nuevo aquí. Veo que aún estás aprendiendo lo básico"""
ssn_005130_0002#0,"""Puedes volver cuando hayas perfeccionado un poco más tus habilidades."""
ssn_005130_0101#0,"""Te he estado esperando. Soy el instructor de los Rangers, Sharkey"""
ssn_005130_0102#0,"""Guiden me ha hablado de ti. ¿Te gustaría aprender sobre los Rangers?"""
ssn_005130_0301#0,"""Bien. Avísame si cambias de opinión."""
ssn_005130_0151#0,"""No eres un ranger."""
ssn_005130_0152#0,"""Si quieres entrenar, ve al contador de clases y haz que tu clase sea un ranger."""
ssn_005130_0153#0,"""Asegúrate de aprender también la habilidad de la clase Ranger."""
ssn_005130_0103#0,"""El Ranger es una clase que sobresale en el tiro a larga distancia"""
ssn_005130_0104#0,"""Cuanta más distancia consigas del Enemigo, más seguro podrás luchar."""
ssn_005130_0105#0,"""Y hay una habilidad de clase que me gustaría recomendar, es Week Bullet"""
ssn_005130_0106#0,"""Te será útil cuando luches contra enemigos difíciles"""
ssn_005130_0107#0,"""Deberías probarlo en una batalla real primero. Te daré una tarea de entrenamiento."""
ssn_005130_0201#0,"""¿Cómo te fue? Parece que has tenido una buena respuesta."""
ssn_005130_0202#0,"""El punto de la batalla sigue siendo las habilidades de clase. Las habilidades ampliarán el alcance de la batalla."""
ssn_005130_0203#0,"""Debes pisar el campo. Tengo grandes esperanzas en ti."""
