a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Area0S#0,"""Area 1: Armada Battlesphere"""
Area0L#0,"""Area 1: Armada Battlesphere"""
QuestInfoAreaName#0,"""Armada Battlesphere"""
Title#0,"""T:Special Training: Episode 6"""
Explanation#0,"""This is a VR mission where your objective<br>is to reach the final area.<br>You will primarily be fighting in the<br>Armada Battlesphere, where you will<br>encounter simulated obstacles that<br>represent events in ARKS' recent history.<br>Make the most of each of your abilities<br>to break through these obstacles.<br>―――――――――――――――――――<br>Defeat the enemy waiting in the final area"""
NpcComMsg1#0,"""The special training is about<br>to begin! Your objective is to<br>pacify two battle zones, then<br>proceed to the final area and<br>defeat the powerful enemy<br>that you encounter there."""
NpcComMsg2#0,"""First, divide into two groups and<br>take the teleporters in front of<br>you to reach the battle zones,<br>and clear out the enemies in both!"""
NpcComMsg3#0,"""Sending forces of equal strength<br>each way will be key to clearing this<br>quickly! Now, let the training begin!"""
NpcComMsg1#1,"""From here, you will be transferred to<br>the final area. Destroy the enemies<br>on the allied ship, then board the<br>enemy ships and clear them out."""
NpcComMsg2#1,"""If you can destroy the enemy<br>turrets, we'll send in allied<br>support weapons to replace<br>them. That should help turn<br>the tide in your favour!"""
NpcComMsg3#1,"""This training is simulating a total<br>war situation, so you'll be facing<br>difficult enemies all the way<br>through. Do your best out there!"""
SimpleExplanation#0,"""Suppress the Armada!"""
