name_7695#0,"""ツカーノ"""
ssn_014480_0001#0,"""リージョンマグ、壊れていなくて良かったです。"""
ssn_014480_0002#0,"""リテムには、他にもリージョンマグがあります。<br>時間がある時、探してみてください。"""
ssn_014480_0101#0,"""それにしても、あなたほどの腕の持ち主なら、<br>コクーンの踏破もできる気がしますね。"""
ssn_014480_0102#0,"""リテムのアークスは、コクーンの踏破を、<br>力の指標のひとつにしています。"""
ssn_014480_0103#0,"""どうですか、あなたも挑戦してみませんか？"""
ssn_014480_0201#0,"""すべてのコクーンを制覇するとなると、一筋縄ではいきません。<br>私の知る限りでも、まだ一握りの者しか……。"""
ssn_014480_0202#0,"""あなたなら、もしかしたらやり遂げられるかもしれません。<br>その力、見せてください。"""
ssn_014480_0301#0,"""戦士にも休息は必要でしょう。<br>その気になったら、また声をかけてください。"""
ssn_014480_0401#0,"""さすがは、ハーディが見込んだアークス……。"""
ssn_014480_0402#0,"""あなたのようなアークスが、戦いに加わってくれて心強い。<br>これからも、よろしく頼みます。"""
ssn_014480_1001#0,"""よいところに来てくれました。"""
ssn_014480_1002#0,"""ここ最近、“ドーム”の中の残党が、<br>活発な動きを見せているようでして……。"""
ssn_014480_1003#0,"""レヌス・リテムを撃退したとはいえ、<br>ドールズの脅威が去ったわけではありません。"""
ssn_014480_1004#0,"""災いの芽は、早いうちに摘み取っておかないと。<br>また力を貸してくれませんか？"""
ssn_014480_1101#0,"""では、ドールズ討伐の任務に加わってください。<br>ほかのアークスたちもドームに向かっています。"""
ssn_014480_1102#0,"""よろしく頼みます。"""
ssn_014480_1201#0,"""戦士にも休息は必要でしょう。<br>その気になったら、また声をかけてください。"""
ssn_014480_1301#0,"""さすがですね。<br>あなたの働きには驚かされるばかり……。"""
ssn_014480_1302#0,"""私たち、リテムのアークスも負けていられません。<br>これからも、共に頑張りましょう。"""
