name_7695#0,"""Tucano"""
ssn_014540_0001#0,"""Nadereh นี่ตาถึงจริงๆ"""
ssn_014540_0002#0,"""โล่งใจไปเปราะหนึ่งเลยที่มี ARKS เก่งๆ มาร่วมสู้ด้วยกัน หวังว่าจะคอยช่วยเหลือพวกเราต่อไปนะ"""
ssn_014540_0101#0,"""มาได้จังหวะพอดีเลย"""
ssn_014540_0102#0,"""กำลังเป็นห่วงเรื่อง DOLLS ที่ยังเหลืออยู่ใน Dome น่ะ เราคอยจับตาดูพวกมันมาตลอด แต่..."""
ssn_014540_0103#0,"""เพิ่งได้รับรายงานมาว่า พวกมันเริ่มเคลื่อนไหวกันอีกครั้งใน Lower Maqaad"""
ssn_014540_0104#0,"""ถึงเราจะขับไล่ Lenus Retem ไปได้แล้ว แต่ก็ยังไม่ได้ขจัดภัยคุกคามจาก DOLLS ไปได้ทั้งหมดหรอกนะ"""
ssn_014540_0105#0,"""ทางที่ดีเราควรตัดไฟตั้งแต่ต้นลมก่อนที่จะเกิดความเสียหายร้ายแรง"""
ssn_014540_0106#0,"""จะช่วยเราเหมือนตอนสู้กับ Lenus Retem อีกครั้งได้ไหม?"""
ssn_014540_0201#0,"""งั้นอยากให้ช่วยเข้าร่วมภารกิจกำจัด DOLLS ที่หลงเหลืออยู่ใน Lower Maqaad น่ะ"""
ssn_014540_0202#0,"""แน่นอนว่า ARKS คนอื่นๆ จาก Retem ก็จะร่วมต่อสู้ด้วย แต่การมีคุณอยู่ด้วยจะช่วยปลุกขวัญกำลังใจได้มากเลยล่ะ"""
ssn_014540_0203#0,"""ทำให้พวกเราภูมิใจด้วยนะ"""
ssn_014540_0301#0,"""เข้าใจล่ะ จะพึ่งพาคุณไปซะทุกเรื่องก็คงไม่ได้สินะ"""
ssn_014540_0302#0,"""เราจัดการเรื่องต่างๆ ด้วยกองกำลังของ Retem ได้ แต่ก็ยังยินดีรับความช่วยเหลือเสมอ"""
ssn_014540_0401#0,"""สร้างความประหลาดใจให้ได้ตลอดทุกครั้งที่ได้รับชัยชนะเลยนะ"""
ssn_014540_0402#0,"""พวกเราชาว ARKS แห่ง Retem ก็จะไม่ยอมแพ้เหมือนกัน มาแข็งแกร่งไปด้วยกัน แล้วจัดการพวก DOLLS ซะ!"""
