st_051070_0010#0,"""히, 히익!<br>히이이익!"""
st_051070_0020#0,"""…다시 한번<br>도와주셔서 감사합니다."""
st_051070_0030#0,"""오라버니와 합류할 생각에 조급해져<br>수색망을 제대로 살피지 못했습니다."""
st_051070_0040#0,"""성함을 여쭤봐도 될까요?"""
st_051070_0050#0,"""<%me> 님.<br>…목숨을 구해 주신 은인이십니다."""
st_051070_0060#0,"""과장이 아닙니다.<br>저는 이 나라의 왕에게<br>목숨을 위협받고 있습니다."""
st_051070_0070#0,"""이제 제 소개를 드리겠습니다.<br>제 이름은…"""
st_051070_0080#0,"""…거기까지야.<br>기록 속 길 잃은 아이.<br>원래 세계로 슝 돌아가자."""
st_051070_0090#0,"""…!?<br>무, 무슨 일이십니까!"""
st_051070_0100#0,"""…사라졌어?"""
st_051070_0105#0,"""그럴 수가, 그분은 대체…?"""
name01#0,"""병사"""
name02#0,"""？？？"""
