st_051060_0010#0,"""멈춰라!"""
st_051060_0020#0,"""…윽!"""
st_051060_0030#0,"""애먹이는군…!<br>하지만 술래잡기도 여기까지다!"""
st_051060_0040#0,"""생사는 상관없다고 들었다!<br>해치워!"""
st_051060_0050#0,"""뭐…!?"""
st_051060_0060#0,"""너무 얕보지 말아 주세요.<br>이래 봬도 어느 정도는 몸을 지킬 줄 압니다."""
st_051060_0070#0,"""쳇, 썩어도 왕족이라 이거냐…!"""
st_051060_0080#0,"""하지만 얕본 건<br>너도 마찬가지다, 공주님!"""
st_051060_0090#0,"""소환진…!?<br>추격대에 마술사까지 있다니!?"""
st_051060_0100#0,"""윽!"""
st_051060_0110#0,"""（…당하겠어!）"""
st_051060_0120#0,"""네…!?<br>대체 누구신가요…?"""
st_051060_0130#0,"""넌 뭐야!?"""
st_051060_0140#0,"""뭐, 됐어. 방해할 거면<br>한꺼번에 죽여 주마!"""
st_051060_0150#0,"""아직도 에피메라를…!<br>조심하세요, 적이 옵니다!"""
st_051060_0160#0,"""이야… 죽여주는데!<br>역시 이게 최고야!"""
st_051060_0170#0,"""자, 가라, 소환수들아!<br>저 건방진 녀석들을<br>당장 짓밟아 버려!"""
st_051060_0180#0,"""이렇게 된 이상<br>저 적을 쓰러뜨리는 수밖에 없습니다.<br>…도와주시겠습니까?"""
name01#0,"""병사"""
name02#0,"""？？？"""
skit01#0,"""The Stranger"""
skit02#0,"""구하려 내민 손끝에"""
