Name#0,"""Rescuee"""
Rescue1#0,"""Thanks for your help!"""
Rescue2#0,"""I knew ARKS would save us!"""
Rescue3#0,"""Whew! That was a close one!"""
Rescue4#0,"""Thank you very much."""
Rescue5#0,"""I'm very grateful. Farewell."""
Rescue6#0,"""I always knew you'd save us!"""
Rescue7#0,"""There must be others who couldn't get away in time. Please save them!"""
Rescue8#0,"""Phew, I thought I'd be roasted alive."""
Rescue9#0,"""Huff... Huff...<br>I've been... saved...?"""
Rescue10#0,"""I thought I was toast!"""
Rescue#0,"""Coordinates set!"""
