Name#0,"""Rescuee"""
Rescue1#0,"""Thanks!"""
Rescue2#0,"""That was too close to the heat for my liking. Thanks for your help!"""
Rescue3#0,"""I owe you one! Don't forget to help the others too!"""
Rescue4#0,"""Why, thank you!"""
Rescue5#0,"""Whew. Never saw that coming!"""
Rescue6#0,"""Appreciate it!"""
Rescue7#0,"""Cheers! Go get 'em, ARKS!"""
Rescue8#0,"""I... I thought I was really gonna die..."""
Rescue9#0,"""Please... the others..."""
Rescue10#0,"""You... you've saved me."""
Rescue#0,"""Coordinates set!"""
