name_7422#0,"""Dana"""
ssn_014440_0001#0,"""ยินดีต้อนรับสู่ Retem City!"""
ssn_014440_0002#0,"""ฉัน Dana เป็นหนึ่งในเวรยามของที่นี่!"""
ssn_014440_0003#0,"""ถ้าศัตรูบุกมา เราจะรีบแจ้งให้รู้ทันที ถึงตอนนั้นก็คงต้องไปสู้ด้วยสินะ"""
ssn_014440_0101#0,"""ได้ยินมาว่าเป็นนักสู้ที่เก่งกาจเลยนี่นา จัดการพวก DOLLS เก่งๆ ไปตั้งเยอะเลยใช่ไหมล่ะ?"""
ssn_014440_0102#0,"""แต่จะเชื่อเฉพาะสิ่งที่ตาเห็นเท่านั้นนะ! คงต้องพิสูจน์ฝีมือให้ดูหน่อยแล้วล่ะ"""
ssn_014440_0103#0,"""เอาล่ะ พร้อมรับคำท้าไหม?"""
ssn_014440_0201#0,"""โอเคเลย งั้นแวะไปที่ Retem El-Nossa แล้วอาละวาดให้เต็มที่เลยเป็นไง? คงจะเคยได้ยินมาบ้าง แต่ที่นั่นมีแต่พวกตัวเบิ้มๆ ทั้งนั้นเลยนะ"""
ssn_014440_0202#0,"""ถ้าจัดการพวกมันได้ จะยอมรับในฝีมือเลย!"""
ssn_014440_0301#0,"""งั้นเหรอ... อุตส่าห์หวังว่าจะได้เห็นฝีมือสักหน่อย เอาเถอะ ถ้าเปลี่ยนใจก็บอกแล้วกัน"""
ssn_014440_0401#0,"""โห ไม่ธรรมดาจริงๆ ด้วย"""
ssn_014440_0402#0,"""ขอบคุณที่ยอมทำตามคำขอนะ รอติดตามผลงานต่อไปเลย!"""
