name01#0,"""『챌린지 퀘스트』에 대하여"""
text01#0,"""『챌린지 퀘스트』에 대하여 설명하겠습니다.<br><br><red>챌린지 퀘스트는 VR 에너지가<br>바닥날때까지 지정된 미션의 클리어를<br>목표로 하는 퀘스트<c>입니다.<br><br>아래의 조건으로 퀘스트는 클리어됩니다.<br><yellow>・지정된 미션을 클리어<br>・VR 에너지가 고갈되는 경우<c><br><br>VR 에너지는 동일 필드 내 참가자와 공유됩니다.<br>녹색의 바는 VR 에너지의 잔량을 나타냅니다."""
text02#0,"""『챌린저』<br>에 대하여 설명하겠습니다.<br><br>챌린지 퀘스트에서는 클래스가<br>「챌린저」로 고정됩니다.<br><br>챌린저 클래스에는 이하의 특징이 있습니다.<br><yellow>・모든 무기, 유닛을 장비 가능<br>・PA나 테크닉, 스킬은 무조건<br>\u3000디스크로부터 습득・장비해야 함<c><br><br>스탠스는 2개까지 동시 사용 가능<br>※일부 동시 사용 불가능한 스탠스도 있습니다."""
text03#0,"""『VR 에너지』에 대하여 설명하겠습니다.<br><br>VR 에너지란 퀘스트 중에<br>소비되는 제한 시간과도 같은 것입니다.<br><br>VR 에너지는 이하의 조건에서 소모됩니다.<br><yellow>・퀘스트 중의 시간 경과<br>・플레이어가 전투불능이 될 때<c><br><br>VR 에너지는 에너지 캡슐을<br>줍는 것으로 회복시킬 수 있습니다.<br>회수한 에너지 캡슐은 참가자 모두와 공유됩니다.<br><red>※미니맵에 표시되지 않는 캡슐도<br>존재합니다.<c>"""
text04#0,"""전투불능이 되면 VR 에너지를<br>대량으로 소모하게 됩니다.<br><br>아래의 방법으로 부활하였을 때는 감소된 만큼의 에너지를<br>회복하는 것이 가능합니다.<br><yellow>・다른 플레이어의 문 아토마이저를 통하여 부활된 경우<c><br><br><red>그 외의 방법을 통하여 부활한 경우<br>소모된 VR 에너지는 회복되지 않기 때문에<c><br>적극적으로 쓰러진 동료를 부활시킵시다.<br><br>또한 <yellow>챌린지 돌<c>을 소지하고 있는 경우<br>전투불능시에 자동으로 부활하므로<br>VR 에너지를 소비하지 않습니다."""
text05#0,"""『인터벌 에리어』에 대하여 설명하겠습니다.<br><br>퀘스트 중에는 인터벌 에리어라고 불리는<br>휴식 지점이 있습니다.<br>이 에리어에 1명이라도 플레이어가 도착한 시점에서<br>시간 경과에 의한 VR 에너지의<br>소모가 중단됩니다.<br>※전투불능 시의 에너지 소모 및<br>문 아토마이저에 의한 에너지 회복은 계속됩니다.<br><br>또한 일정시간 후에는 이 에리어에 도달하지 못한<br>모든 플레이어는 강제송환됩니다.<br><red>전투불능의 플레이어는 부활합니다만<br>VR 에너지는 회복되지 않습니다.<c>"""
text06#0,"""인터벌 에리어에서는 리사이클 샵에서<br>유용한 아이템과의 교환을 할 수 있습니다.<br><br>다음에 도전할 미션에 대비하여 회복 아이템을<br>보충하거나 무기, 디스크의 교환이<br>가능합니다.<br><br>교환용 아이템이 부족한 경우에는<br>다른 참가자에게 요청하는 것도 하나의 수단입니다."""
text07#0,"""『챌린지 마일』에 대하여 설명하겠습니다.<br><br>챌린지 퀘스트를 클리어 하게 되면<br>챌린지 마일을 보수로 받을 수 있습니다.<br>챌린지 마일은 샵 에리어 2층 교환샵에서<br>각종 아이템과 교환 가능합니다.<br><br>마일은 주로 아래의 방법으로 획득가능합니다.<br><yellow>・챌린지 미션을 클리어<br>・마일 크리스탈을 입수<c><br>미션의 클리어 진행도는 에리어의<br>선두 플레이어의 위치에 의해 결정됩니다.<br>또한 마일 크리스탈의 획득량은<br>참가자 전원이 공유합니다."""
text08#0,"""『자기 최고 기록 태그』에 대하여 설명하겠습니다.<br><br>챌린지 퀘스트를 클리어하면<br>다음번 도전하게 되는 챌린지 퀘스트의 에리어 내에<br>자기 최고 기록 태그가 표시됩니다.<br><br>이것은 자신의 최고 도달 기록을 나타내는 것으로<br>기록을 갱신하는 것으로 위치가 변경됩니다.<br><br>자신의 기록은 파란색,<br>다른 플레이어의 기록은 은색으로 표시됩니다."""
text09#0,"""챌린지 퀘스트에서는<br>에너미가 떨어뜨린 아이템이나<br>컨테이너로부터 출현하는 아이템은<br>플레이어 본인만이 습득할 수 있습니다.<br><br><yellow>다른 플레이어는 주울 수 없게 되어있으므로<br>나타난 아이템은 적극적으로 습득하도록 합시다.<c>"""
text10#0,"""『엑스트라 차지 보너스』에 대하여<br>설명하겠습니다. <br> <br>VR 에너지를 100% 이상 회복하는 경우에는<br>회복량에 비례하여 엑스트라 차지 보너스를<br>얻을 수 있습니다.<br><br>엑스트라 차지 보너스는<br>2.5%당 1의 챌린지 마일이 가산됩니다만<br><red>VR 에너지의 최대 한도 100%를 넘어 회복되지는 않으므로<br>제한시간에 발생할 수 있는 불이익에는 주의해주세요.<c>"""
