msc_014180_0010#0,"""หมอบลง!"""
msc_014180_0020#0,"""ขอบใจนะ<br>เธอช่วยชีวิตฉันไว้แท้ๆ"""
msc_014180_5010#0,"""ย่าห์!"""
msc_014180_5020#0,"""ฮึบ!"""
msc_014180_0030#0,"""ฮ่าห์!"""
msc_014180_0040#0,"""ฮะ!"""
msc_014180_0050#0,"""ฮะ!"""
msc_014180_0070#0,"""ฮึบ!"""
msc_014180_0080#0,"""ย๊ากกกก!!"""
name01#0,"""เรนเจอร์กองกำลังสำรวจเอลิโอ (Aelio Expeditionary Ranger)"""
name02#0,"""กองกำลังสำรวจเอลิโอ (Aelio Expeditionary Force)"""
name03#0,"""ฮันเตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Hunter)"""
name04#0,"""ไฟท์เตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Fighter)"""
