un_065020_0001#0,"""A.P.242/3/11"""
un_065020_0010#0,"""……ちっ。"""
un_065020_0020#0,"""……ふん。"""
un_065020_0030#0,"""Grrr... ¡No es justo! ¡Ella nos engaño!"""
un_065020_0040#0,"""Grrr... ¡No se le permite ser tan fuerte!"""
un_065020_0050#0,"""En absoluto, este fue el resultado esperado. Se podría decir que fue un gran éxito."""
un_065020_0060#0,"""Oye pequeño perdedor, ¿por qué estás tan feliz?"""
un_065020_0070#0,"""Ella es la última vasija que creé. Esta es la prueba de su excelente calidad."""
un_065020_0080#0,"""Nosotros, los Dark Falz, no somos nada para ella, e incluso <%me> no era rival...<br>Estoy asustado por el alcance de mi propio genio."""
un_065020_0090#0,"""Para con esa basura sin preocupaciones ya.<br>¿No estás cansado de perder constantemente...?<br>¡Encuentra una manera de vencer a esa imbécil!"""
un_065020_0100#0,"""Jaja, imposible. No importa cuánto luchemos, el resultado sera el mismo."""
un_065020_0110#0,"""Ella misma se declaró como tal.<br>Ella es [Profound Darkness].<br>El origen de nuestros poderes, por así decirlo."""
un_065020_0120#0,"""Ninguna criatura morirá por su propio veneno.<br>Es así de simple"""
un_065020_0130#0,"""Entonces que, entonces qu?<br>¿Somos simplemente inútiles?"""
un_065020_0140#0,"""Entonces que, entonces qu?<br>¿Hemos terminado de ser útiles?"""
un_065020_0150#0,"""No exactamente. Nuestra conexión con <%me> de hecho tiene un propósito"""
un_065020_0160#0,"""Si nuestros poderes fueran los suyos, el mundo ya se habría encontrado con su desaparición"""
un_065020_0170#0,"""En otras palabras, estamos cumpliendo un papel simplemente estando aquí. Eso es todo"""
un_065020_0180#0,"""¿No es todo tu culpa por crear ese monstruo en primer lugar?"""
un_065020_0190#0,"""No negaré mi participación en esta situación, pero ¿hasta qué punto se encuentra la verdadera causa?"""
un_065020_0200#0,"""Si pudieras hacer todo de nuevo,<br>¿nunca deberíamos haber conocido a Xion?"""
un_065020_0210#0,"""Si eso es lo que deseas, entonces hazlo. Crea una historia donde los Photoners, y por supuesto los ARKS, nunca llegaron a existir."""
un_065020_0220#0,"""Eso debería estar bien. Porque nací antes de que alguien conociera a Xion"""
un_065020_0230#0,"""Eso estaría bien. Mientras Flo exista, entonces naceré"""
un_065020_0240#0,"""Ustedes, niños, seguramente no tienen preocupaciones"""
un_065020_0250#0,"""Estás pensando demasiado, señora. No podemos hacer nada"""
un_065020_0260#0,"""No podemos hacer nada aunque lo pensemos"""
un_065020_0270#0,"""Los Photons Existen junto con el Registro Akáshico"""
un_065020_0280#0,"""Mientras existan los Photons , también existe [Profound Darkness]."""
un_065020_0290#0,"""Si realmente quisieras erradicarlo... Tu única opción sería enviar a [Profound Darkness] a un mundo desprovisto de Photons."""
un_065020_0300#0,"""Un mundo sin el Registro Akáshico...<br>¿Existe un lugar como ese?"""
un_065020_0310#0,"""¿Cómo puedo saber? Incluso como ex Photoner, no pude encontrar un lugar así"""
name01#0,"""フラウ"""
name02#0,"""フロー＆フラウ"""
