st_063090_0001#0,"""A.P.242/3/10/12:00"""
st_063090_0010#0,"""Este lugar seguro me trae recuerdos. Nunca imaginé que tendríamos que protegerlo de nuevo"""
st_063090_0020#0,"""El lugar donde una vez invoqué la formación Braided Ash. Te enviaré allí"""
st_063090_0030#0,"""Debes interceptar a los enemigos y proteger la piedra angular. Defiéndelo con tu vida, hasta que aparezcan"""
st_063090_0040#0,"""Los enemigos deben notar tu llegada y reunirse de inmediato. Así también debe esa bribona, en poco tiempo"""
st_063090_0050#0,"""... Entonces, la estamos atrayendo"""
st_063090_0060#0,"""Precisamente. Es una tarea muy peligrosa. Entiendo que si no quieres..."""
st_063090_0070#0,"""¿Qué hacemos después de que ella aparezca?"""
st_063090_0080#0,"""Lo que sigue es simple... Debes destruir la piedra angular"""
st_063090_0090#0,"""¿No resucitará Magatsu?"""
st_063090_0100#0,"""¿No se debilitará la formación Braided Ash ?"""
st_063090_0110#0,"""En efecto. Sin la piedra angular, la barrera se debilitará, y Magatsu pronto revivirá."""
st_063090_0120#0,"""... Pero eso es precisamente lo que queremos. Debes tener fe y dejarme las consecuencias."""
