st_063070_0050#0,"""そんな……！<br>……ッ！"""
st_063070_0060#0,"""Que horrible...! ¡Han saqueado Harkotan ...!"""
st_063070_0070#0,"""Oho, ciertamente te tomaste tu tiempo."""
st_063070_0080#0,"""...Shiva ?! ¡Por qué estás aquí!"""
st_063070_0090#0,"""Me cansé de nuestro pequeño juego, así que decidí hacer las cosas más interesantes."""
st_063070_0100#0,"""Me imaginé que finalmente harías una aparición, pero son bastante lentos."""
st_063070_0110#0,"""Los Shironians..."""
st_063070_0120#0,"""スクナヒメは……"""
st_063070_0130#0,"""Creo que he limpiado toda la basura que pude encontrar."""
st_063070_0140#0,"""Me gusta esto"""
st_063070_0150#0,"""¡No te perdonaré ...!"""
st_063070_0160#0,"""Jejeje, bastante malhumorados, ¿no?"""
st_063070_0170#0,"""Los polluelos que se escabulle son bastante molestos. Ya es hora de que terminemos de limpiar"""
st_063070_0180#0,"""¡<%me>! ¡Matoi! ¡Las fuerzas enemigas se están reuniendo! ¡Date prisa y retirense!"""
st_063070_0190#0,"""¿Crees que es tan fácil escapar?"""
st_063070_0200#0,"""くっ……！"""
st_063070_0210#0,"""おや？"""
st_063070_0220#0,"""スクナヒメ！？"""
st_063070_0230#0,"""……"""
st_063070_0240#0,"""Debes ser el guardián de este planeta. No sé dónde te has estado escondiendo todo este tiempo, pero ¿serás mi próximo oponente?"""
st_063070_0250#0,"""ふっ！"""
st_063070_0260#0,"""む？"""
st_063070_0270#0,"""...Impresionante. Son bastante rápidos para huir."""
st_063070_0280#0,"""Varuna se enojará conmigo si no soy minuciosa en mi limpieza."""
skit01#0,"""Una forma de sellar la muerte"""
skit02#0,"""Invasores en la tierra de blanco y negro"""
