un_063150_0001#0,"""A.P.242/3/11"""
un_063150_0010#0,"""Tama-hime, ¿Es seguro para ti estar aquí?"""
un_063150_0020#0,"""Hm? ¿A qué te refieres?"""
un_063150_0030#0,"""Con Harkotan en el estado en que se encuentra, ¿No será difícil para Kotoshiro si no estás cerca?"""
un_063150_0040#0,"""Olvidas, Matoi. Tama-hime es mi otra mitad. Mi verdadero cuerpo todavía está en Harkotan"""
un_063150_0050#0,"""Ah, eso es correcto. ¿Te sientes bien?<br>¿Y qué hay de Kotoshiro...?"""
un_063150_0060#0,"""No te preocupes Puede que estemos heridos, pero Kotoshiro y yo estamos bien."""
un_063150_0160#0,"""¿Cómo es Harkotan?"""
un_063150_0170#0,"""¿Es seguro Kakuriyo?"""
un_063150_0070#0,"""El reino de los vivos todavía está plagado de armas Photoner, arrasando con..."""
un_063150_0080#0,"""Las vidas de los sobrevivientes son principales. Todos los que moran en Kakuriyo están a salvo por el momento"""
un_063150_0090#0,"""Los que permanecen allí están a salvo por el momento. Es solo cuestión de tiempo antes de que Shiva encuentre un camino"""
un_063150_0100#0,"""Sin embargo, las armas que arrasan son meros subordinados. La preocupación es innecesaria"""
un_063150_0110#0,"""El enfoque de Shiva ahora está dirigido a ti"""
un_063150_0120#0,"""Si su mirada volviera a Harkotan, nos extinguiríamos."""
un_063150_0130#0,"""Por lo tanto, es lógico que te apoyemos"""
un_063150_0140#0,"""No te preocupes por Harkotan, concéntrate únicamente en lo que debes hacer"""
un_063150_0150#0,"""...Sí, lo haremos."""
