st_063030_0020#0,"""Bienvenidos."""
st_063030_0030#0,"""¡Alma-san! ¿Está bien tu cuerpo?"""
st_063030_0040#0,"""No esta en perfecto estado, pero... Xiao, ha vuelto así que no puedo dormir demasiado."""
st_063030_0050#0,"""La ubicacion de las fuerzas enemigas es esta. Una señal de reenvío, aparentemente llegando directamente a la ciudad."""
st_063030_0060#0,"""¿No es como un reconocimiento de Photons?<br>Si hablas en serio, eso es un problema"""
st_063030_0070#0,"""Sin embargo, si sabemos que vendrán, ¡Podremos hacer contramedidas!"""
st_063030_0080#0,"""Estos movimientos también se pueden predecir para ser interceptados inmediatamente después de la aparición."""
st_063030_0090#0,"""En otras palabras, el primer golpe es el mas importante, me gustaría dejartelo a cargo."""
st_063030_0100#0,"""Déjamelo a mi"""
st_063030_0110#0,"""Puede que no estémos segur@s"""
st_063030_0120#0,"""A mi también, ¡Daremos nuestro mejor esfuerzo juntos!"""
st_063030_0130#0,"""Está bien... <%me>.<br>¡Daremos nuestro mejor esfuerzo junt@s!"""
st_063030_0140#0,"""Muy bien cuento con ustedes dos."""
