name_7740#0,"""Truxtun"""
ssn_015063_0101#0,"""เอาล่ะ มาคุยกันเถอะ"""
ssn_015063_0102#0,"""พวกมันถูกเรียกกันว่า 'Ancient Enemies'"""
ssn_015063_0103#0,"""เรื่องราวมันย้อนกลับไปถึงตอนที่ Lost Central ยังถูกเรียกว่า Central City"""
ssn_015063_0104#0,"""ที่นั่นถูก Dark Falz บุกทำลาย และ... อืม คงรู้เรื่องราวที่เหลือดีอยู่แล้วสินะ"""
ssn_015063_0105#0,"""ถ้าจะให้ถูกคือ เป็นการบุกโจมตีเต็มรูปแบบของพวก DOLLS ต่างหาก"""
ssn_015063_0106#0,"""ว่ากันว่าเหล่า ARKS ของ Kvaris ในตอนนั้นสามารถต้านทานการโจมตีไว้ได้ทั้งหมด"""
ssn_015063_0107#0,"""แต่จู่ๆ โดยไม่ทราบสาเหตุ ก็เกิดความหนาวเหน็บอย่างรุนแรงแผ่ซ่านเข้ามา และกักขังเมืองนี้ไว้ในน้ำแข็ง"""
ssn_015063_0108#0,"""เรียกได้ว่าถูกแช่แข็งข้ามกาลเวลาเลยล่ะ อะไรล่ะที่ซุ่มซ่อนอยู่ใต้หิมะและน้ำแข็งนับตั้งแต่นั้นมา? นั่นล่ะคือพวก Ancient Enemies"""
ssn_015063_0109#0,"""ไม่รู้ว่าเป็นเพราะการเคลื่อนไหวของพวกเราหรือเปล่า แต่คิดว่าพวกมันเริ่มจะตื่นขึ้นมาแล้วล่ะ"""
ssn_015063_0110#0,"""ทีมแนวหน้าของ ARKS ที่ไปเจอมาดูเหมือนจะหนีรอดมาได้นะ"""
ssn_015063_0111#0,"""เอาล่ะ คงจะกระตุ้นความสนใจได้แล้วสินะ! มองหาความท้าทายอยู่เสมอเลยนี่?"""
ssn_015063_0112#0,"""เดี๋ยวจะทำเครื่องหมายพื้นที่ที่มีคนพบเห็น Ancient Enemy เพิ่มมากขึ้นไว้ให้"""
ssn_015063_0113#0,"""ตอนนี้อยากให้ไปลองตรวจดูที่นั่นและเก็บข้อมูลมาหน่อย"""
ssn_015063_0114#0,"""พกอุปกรณ์กันหนาวไป ตรวจสอบอุปกรณ์ให้ดี แล้วมุ่งหน้าไปที่นั่นเลย"""
