name_7740#0,"""Truxtun"""
ssn_015060_0001#0,"""ลึกลงไปใต้หิมะนี้มีร่องรอยของอารยธรรมในอดีตซ่อนอยู่"""
ssn_015060_0002#0,"""ไม่คิดว่ามันมีอะไรพิเศษบางอย่างเหรอ?"""
ssn_015060_0003#0,"""ฟังนะ บอกเรื่องนี้กับทุกคนที่ผ่านทางนี้มา แต่ว่า..."""
ssn_015060_0004#0,"""พื้นที่ทางตะวันออกนั่น Rayjord Gorge น่ะเหรอ? ที่นั่นอันตรายอย่างเหลือเชื่อเลยล่ะ"""
ssn_015060_0005#0,"""ถ้าไปที่นั่นโดยไม่มีการป้องกันที่เหมาะสม อุณหภูมิที่นั่นจะพรากพละกำลังไปจากตัวตั้งแต่ที่ยืนอยู่เลย"""
ssn_015060_0006#0,"""ศัตรูก็โหดเหี้ยมไม่แพ้กัน จะเอาตัวรอดด้วยอุปกรณ์ครึ่งๆ กลางๆ ไม่ได้หรอกนะ"""
ssn_015060_0007#0,"""ถ้าเก็บเกี่ยวประสบการณ์มาได้มากกว่านี้อีกสักหน่อย เดี๋ยวจะให้คำแนะนำในการไปที่นั่นเอง"""
ssn_015060_0101#0,"""ที่ Kvaris แห่งนี้ มีศัตรูที่แข็งแกร่งอยู่นับไม่ถ้วน"""
ssn_015060_0102#0,"""ศัตรูพวกนี้ถือเป็นบททดสอบชั้นดีสำหรับเหล่า ARKS ที่แข็งแกร่งเลยล่ะ"""
ssn_015060_0103#0,"""ก็อยากจะเล่าให้ฟังมากกว่านี้หรอกนะ แต่ก่อนอื่นขอตรวจดูหน่อยว่ามีคุณสมบัติพอไหม"""
ssn_015060_0104#0,"""ในแคมป์แห่งนี้ Leso เป็นคนที่ทำหน้าที่จัดการเสบียงน่ะ"""
ssn_015060_0104_001#0,"""คนที่ทำหน้าที่ดูแลเสบียงของกองทหารก็คือ Leso ที่อยู่ข้างๆ นี่ล่ะ"""
ssn_015060_0105#0,"""อยากให้ลองไปแลกเปลี่ยนสินค้ากับเธอดู นั่นน่าจะเป็นเครื่องพิสูจน์ความแข็งแกร่งได้"""
ssn_015060_0201#0,"""ชื่อ Truxtun นะ เป็นคนรับผิดชอบการวิเคราะห์ข้อมูลศัตรูของทีมแนวหน้า"""
ssn_015060_0202#0,"""ดูเหมือนว่าจะต่อสู้กับศัตรูใน Kvaris แห่งนี้มาพอสมควรแล้วสินะ"""
ssn_015060_0203#0,"""แต่ทว่า ใน Kvaris ยังมีศัตรูที่แข็งแกร่งกว่านี้ซุ่มซ่อนอยู่อีก"""
