name_7740#0,"""Truxtun"""
ssn_015061_0101#0,"""เอาล่ะ มาคุยกันเถอะ"""
ssn_015061_0102#0,"""อืม ก่อนหน้านั้น คงต้องคุยกันเรื่อง Rayjord Gorge เสียก่อน"""
ssn_015061_0103#0,"""ว่ากันว่าที่นั่นเป็นแหล่งกบดานของศัตรูลึกลับและแข็งแกร่งเป็นพิเศษล่ะ"""
ssn_015061_0104#0,"""แต่ทว่า จำเป็นต้องมีเสบียงที่เพียงพอเพื่อรับมือกับสภาพอากาศเสียก่อน หากหวังว่าจะได้เจอพวกมันสักตัวน่ะ"""
ssn_015061_0105#0,"""Leso ผู้ดูแลเสบียงของเราที่นี่ บังเอิญเป็นคนจัดการเรื่องเสบียงเหล่านั้นพอดี"""
ssn_015061_0106#0,"""อนิจจา เสบียงที่ว่านั่นค่อนข้างหายาก เธอจึงให้ฟรีๆ ไม่ได้หรอกนะ"""
ssn_015061_0107#0,"""ถ้าอยากได้ ก็ต้องเอาของมาแลกเปลี่ยนแทน"""
ssn_015061_0108#0,"""จะต้องใช้ Notable Kvaris Ackee และ Notable Kvaris Squid น่ะ"""
ssn_015061_0109#0,"""ก่อนอื่นเลย การรวบรวม Notable Kvaris Ackee มีข้อควรระวังอยู่"""
ssn_015061_0110#0,"""สามารถหาได้ใน Northern Kvaris แต่เฉพาะช่วงเช้าและเที่ยงเท่านั้น"""
ssn_015061_0111#0,"""Ackees ที่เก็บได้นอกเหนือจากช่วงเวลาเหล่านั้น คุณภาพจะไม่ดีพอหรอกนะ"""
ssn_015061_0112#0,"""สังเกตเวลาให้ดี แล้วไปรวบรวมมาตอนที่มีโอกาสล่ะ"""
