name_7211#0,"""Xiandy"""
ssn_019010_002_0001#0,"""Gracias por venir. Permítanme presentarme de nuevo."""
ssn_019010_002_0002#0,"""Como he dicho, mi nombre es Xiandy. Estoy estudiando varios fenómenos inusuales que ocurren en Halpha"""
ssn_019010_002_0003#0,"""Te he llamado porque necesito tu ayuda para investigar un fenómeno que se está produciendo actualmente."""
ssn_019010_002_0101#0,"""Bienvenido de nuevo. He podido grabar muchos datos de la batalla"""
ssn_019010_002_0102#0,"""Tus resultados pueden incluso haber atraído el interés de otros investigadores."""
ssn_019010_002_0103#0,"""Creo que me gustaría utilizar estos datos para investigar las vulnerabilidades del enemigo, así como la fabricación de equipos eficaces."""
ssn_019010_002_0104#0,"""Muchas gracias por su ayuda con esto."""
ssn_019010_002_0105#0,"""Puedes cambiar los puntos que te han dado por recompensas. Hazme saber lo que necesitas"""
ssn_019010_002_0106#0,"""Te agradecería que me enviaras regularmente los datos de tus enfrentamientos con los enemigos marcados con el símbolo de la temporada."""
ssn_019010_002_0107#0,"""Gracias por su ayuda."""
ssn_019010_002_0201#0,"""Estamos investigando intensamente cómo han cambiado los enemigos esta temporada."""
ssn_019010_002_0202#0,"""Cualquier cantidad de datos que pueda proporcionarnos será muy apreciada."""
ssn_019010_002_0301#0,"""¡Muchas gracias! Estos datos son muy valiosos"""
ssn_019010_002_0302#0,"""Con esto, estamos un paso más cerca de desentrañar la conexión entre Gaeira y los enemigos."""
ssn_019010_002_0303#0,"""Así que... sí. Esperaba que pudieras conseguirme un poco más de información sobre los enemigos."""
ssn_019010_002_0304#0,"""Si no te importa, tu cooperación sería muy apreciada."""
ssn_019010_002_0401#0,"""¡Excelente trabajo! Estos datos me vendrán muy bien para mi investigación."""
ssn_019010_002_0402#0,"""De acuerdo, la siguiente petición también viene de la división de combate ARKS..."""
ssn_019010_002_0403#0,"""Gracias por su continua asistencia."""
ssn_019010_002_0501#0,"""Gracias por venir a verme"""
ssn_019010_002_0502#0,"""Una vez más, me gustaría pedirle si puede investigar algo para mí..."""
npc_menu_0001#0,"""Intercambio de puntos de temporada por artículos"""
npc_menu_0002#0,"""Intercambio de puntos de temporada por artículos"""
npc_menu_0003#0,"""Sobre Seasonal Events"""
npc_menu_0004#0,"""Cerrar Menú"""
npc_menu_0005#0,"""Sobre Seasonal Events"""
npc_menu_0006#0,"""Sobre Seasonal Event Characters"""
npc_menu_0007#0,"""Acerca de las tareas diarias/semanales"""
npc_menu_0008#0,"""Sobre Mischief Symbols"""
npc_menu_0009#0,"""Sobre Seasonal Enemies"""
npc_menu_0010#0,"""No tengo nada que preguntar."""
