name_7211#0,"""Xiandy"""
ssn_019010_006_0001#0,"""Hay algo diferente en la ciudad. ¿Lo has notado? Por no hablar de los enemigos."""
ssn_019010_006_0002#0,"""...Gaeira. Así es como llamamos a la estrella variable que brilla en el cielo nocturno."""
ssn_019010_006_0003#0,"""Creemos que la causa de estos cambios recientes tiene algo que ver con Gaeira."""
ssn_019010_006_0004#0,"""En esta época del año, la particular luminosidad de Gaeira parece ejercer algún tipo de influencia sobre la flora y la fauna locales."""
ssn_019010_006_0005#0,"""Además, esto tiene el potencial de afectar el comportamiento de los enemigos, en particular los Alters en la noche."""
ssn_019010_006_0006#0,"""Lo que quiero pedirte es que investigues a estos Alters."""
ssn_019010_006_0007#0,"""¿Podría proporcionarme algunos datos de batalla de los Alters marcados con Símbolos de Temporada que encuentre por la noche?"""
ssn_019010_006_0008#0,"""He transferido detalles adicionales de los enemigos a esa terminal de allí, así que por favor, haz uso de ella"""
ssn_019010_006_0009#0,"""Se han puesto a disposición de los participantes recompensas especiales."""
ssn_019010_006_0010#0,"""Muchas gracias por su tiempo."""
