name_7008#0,"""Rossa."""
msn_011065_001_0010#0,"""Hola, soy Rossa. ¿Como estas?"""
msn_011065_001_0020#0,"""Te voy a enseñar sobre el fortalecimiento de las armas."""
msn_011065_001_0030#0,"""La eficiencia de tus armas y armaduras puede mejorar templándolas"""
msn_011065_001_0040#0,"""Es básicamente lo mismo para nosotros los ARCOS, en realidad."""
msn_011065_001_0050#0,"""... ¿Estoy en lo cierto?"""
msn_011065_001_0060#0,"""... No, eso no es correcto."""
msn_011065_001_0070#0,"""... ¿O sí?"""
msn_011065_001_0080#0,"""En fin, los materiales! Puedes usar otras armas y cosas como materiales para fortalecer tu equipo. Además, vas a necesitar N-Grinders"""
msn_011065_001_0090#0,"""Escucha, sería un dolor de cabeza hacerte ir a buscar todas esas cosas sólo para una lección,"""
msn_011065_001_0100#0,"""así que aquí, te daré un montón de ambos. Ve a tratar de fortalecer algunas cosas en el Laboratorio de Objetos"""
msn_011065_001_0401#0,"""Obtuviste Prim Sword x10, N-Grinder x10, y 10000<pict reb_meseta> meseta."""
msn_011065_001_0402#0,"""Obtuviste Prim Nudillo x10, N-Grinder x10, y 10000<pict reb_meseta> meseta."""
msn_011065_001_0403#0,"""Obtuviste Prim Rifle x10, N-Grinder x10, y 10000<pict reb_meseta> meseta."""
msn_011065_001_0404#0,"""Obtuviste ametralladora Prim x10, amoladora N x10 y 10000<pict reb_meseta> meseta."""
msn_011065_001_0405#0,"""Obtuviste varilla Prim x10, amoladora N x10 y 10000<pict reb_meseta> meseta."""
msn_011065_001_0406#0,"""Obtuviste varilla Prim x10, amoladora N x10 y 10000<pict reb_meseta> meseta."""
msn_011065_001_0501#0,"""Obtuviste Prim Espada x2, N-Grinder x2, y 2000<pict reb_meseta> meseta."""
msn_011065_001_0502#0,"""Obtuviste Prim Nudillo x2, N-Remolcador x2, y 2000<pict reb_meseta> meseta."""
msn_011065_001_0503#0,"""Obtuviste Prim Rifle x2, N-Grinder x2, y 2000<pict reb_meseta> meseta."""
msn_011065_001_0504#0,"""Obtuviste ametralladora Prim x2, amoladora N x2 y 2000<pict reb_meseta> meseta."""
msn_011065_001_0505#0,"""Obtuviste varilla Prim x2, amoladora N x2 y 2000<pict reb_meseta> meseta."""
msn_011065_001_0506#0,"""Obtuviste Varilla Prim x2, Molinillo N x2, y 2000<pict reb_meseta> meseta"""
msn_011065_001_0101#0,"""¡Me alegro de verte! Siempre es bueno tener más potencia de fuego!"""
msn_011065_001_0102#0,"""¡Has estado haciendo olas, <%me>! No puedo esperar a ver qué más tienes"""
msn_011065_001_0201#0,"""Realmente sabes cómo hacer el trabajo, ¿no? Lo respeto."""
msn_011065_001_0202#0,"""Parece que Crawford está conmigo en eso, también. Así que sí, ¡sigue haciendo lo que estás haciendo!"""
