st_041004_0001#0,"""A.P.241/3/22/10:30"""
st_041004_0010#0,"""<%me>. Hei, di sini! Selamat pagi, bagaimana kabarmu?"""
st_041004_0020#0,"""Ah, aku lupa memperkenalkan diri! Aku Xiera, operator pribadimu! Senang bertemu denganmu!"""
st_041004_0030#0,"""Aku senang kamu bangun tanpa ada masalah sama sekali."""
st_041004_0040#0,"""Apakah kamu merasa aneh? Tanda reaksi Darker... Tidak, semuanya sudah dimurnikan!"""
st_041004_0050#0,"""Hmm? Kamu memiringkan kepala. Mungkinkah ingatanmu bercampur aduk?"""
st_041004_0060#0,"""Ini sudah sering terjadi. Kami sudah menerima kontak dari unit medis."""
st_041004_0070#0,"""Aku tahu kamu baru saja terbangun, tapi aku, operator pribadimu, Xiera... Akan memberitahumu keadaan kita seperti saat ini!"""
st_041004_0080#0,"""Pada \""A.P.238/2/20\"", kamu terdaftar sebagai ARKS untuk menyelesaikan sebuah misi di planet Naberius."""
Title#0,"""Konfirmasi melewatkan tutorial"""
Message#0,"""Apakah kamu ingin melewatkan tutorial ini?"""
