st_041060_0001#0,"""A.D.2028/3/22/17:00"""
st_041060_0010#0,"""D-dimana monster itu?"""
st_041060_0020#0,"""...Begitu ya, syukurlah.<br>Semuanya sudah baik-baik saja sekarang, bukan?"""
st_041060_0030#0,"""Aku tidak tahu apa yang terjadi, tapi...<br>Kamu telah menyelamatkan kami berdua.<br>Terima...ka..."""
st_041060_0040#0,"""Jangan khawatir, kondisi mereka sekarang sudah stabil."""
st_041060_0050#0,"""Yang kita khawatirkan adalah monster misterius itu. Mereka berbeda dari Darker, tapi makhluk apa itu sebenarnya..."""
st_041060_0060#0,"""Rehabilitasi adalah tujuan awalnya, tapi kamu melakukannya dengan baik, meskipun kamu tiba-tiba berpindah ke lokasi yang tidak diketahui!"""
st_041060_0070#0,"""Kita tidak bisa mengambil tindakan lebih jauh lagi, jadi silakan kembali secepatnya."""
st_041060_0080#0,"""Mn... Urgh..."""
st_041060_0090#0,"""... Ha, hahaha. Ahahahahahaha!"""
st_041060_0100#0,"""Nah kan, benar apa kataku! Semua hal gila itu ternyata hanya mimpi! Syukurlah, Syukurlaahhh! Hah!-"""
st_041060_0110#0,"""Haha... Ahaha, ahahahahaha...<br>...Haa..."""
st_041060_0120#0,"""...Ternyata memang bukan mimpi..."""
