st_041010_0001#0,"""A.P.241/3/22/11:00"""
st_041010_0010#0,"""Pada \""A.P.238/2/20\"", Kamu terdaftar, sebagai ARKS, untuk menyelesaikan sebuah misi di planet Naberius."""
st_041010_0020#0,"""Seiring kamu menyelesaikan banyak misi, dengan cepatnya kamu mendapatkan pengakuan dari dalam ARKS, dan banyak petualangan yang terbuka didepanmu."""
st_041010_0030#0,"""Darkers, Dark Falz... Dan pimpinannya, [Profound Darkness]. Semua pertarungan itu telah berhasil dimenangkan!"""
st_041010_0040#0,"""Kalau diingat kembali, rasanya masih menakjubkan. Saat ini, orang itu berada tepat di depanku! Ah, maafkan aku. Aku malah keluar dari topik."""
st_041010_0050#0,"""Saat ini, sudah 2 tahun semenjak bangkitnya [Profound Darkness]."""
st_041010_0060#0,"""Aku tidak menyalahkanmu karena terkejut, <%me>. Bagimu, semua itu berlalu dengan begitu cepatnya!"""
st_041010_0070#0,"""Setelah pertarunganmu dengan [Profound Darkness], kamu memasuki fase Cold Sleep untuk memurnikan semua elemen Darker."""
st_041010_0080#0,"""Pada saat itu, kita masih bertarung melawan [Profound Darkness]. Tapi jangan khawatir! ARKS dan seluruh alam semesta masih tetap bertahan!"""
st_041010_0090#0,"""Dan sekarang, Kembalinya <%me>! ARKS akhirnya siap bergerak lagi!"""
st_041010_0100#0,"""...Itu harapanku. Tapi hidup itu tidak sempurna. Seperti itulah dunia ini."""
st_041010_0110#0,"""Aku tahu kamu baru saja menyelesaikan pemurnianmu, tapi aku membangunkanmu karena aku membutuhkan bantuanmu."""
st_041010_0120#0,"""...Oh, sebelum kita membahasnya, aku perlu memberikanmu ini!"""
st_041010_0130#0,"""Ini, <%me>, dibuat untuk merangkai semua petualanganmu menjadi sebuah sejarah besar! Aku menyebutnya \"Story Board!\"""
st_041010_0140#0,"""Jagalah dengan baik seiring kamu kembali beraksi!"""
LineWindow#0,"""Saat ini"""
