st_051040_0001#0,"""A.P.241/9/23/11:00"""
st_051040_0010#0,"""...Baiklah, kalau begitu, lanjutkan! <%me>! Matoi! Sedikit lagi!"""
st_051040_0020#0,"""Jatuhkan dia seperti itu... Selamatkan dia!"""
st_051040_0030#0,"""Tidak akan kubiarkan!"""
st_051040_0040#0,"""くっ……！"""
st_051040_0050#0,"""Terima ini!"""
st_051040_0060#0,"""はあああああっ！"""
st_051040_0070#0,"""Sekarang!"""
st_051040_0080#0,"""Dapat... Reaksi [Persona]! <%me>, Matoi! Sisanya kuserahkan pada kalian berdua!"""
st_051040_0090#0,"""Ya, sekarang adalah kesempatan kita!"""
st_051040_0100#0,"""1. ...Sedikit lagi!"""
st_051040_0110#0,"""2. ...Aku akan menyelamatkanmu!"""
st_051040_0120#0,"""A-apa ini? Wujudnya jadi tidak beraturan..."""
st_051040_0130#0,"""Manipulasi ruang dan waktu!? Apakah dia mencoba untuk berpindah ke suatu tempat!? Apa yang sebenarnya ingin dia lakukan?"""
st_051040_0140#0,"""<%me>！"""
st_051040_0150#0,"""Reaksinya... menghilang! Jejaknya, jejaknya, jejaknya...! ...Arghh!"""
st_051040_0160#0,"""Tenanglah, Xiera. Tidak ada jejak yang tersisa, semua reaksi telah menghilang dari sekeliling area. ....Kita benar-benar kehilangan mereka."""
st_051040_0170#0,"""...Tidak mungkin!"""
st_051040_0180#0,"""<%me><br>……<%me>！！"""
