Begin#0,"""開始5244"""
Success#0,"""成功5244"""
Failure#0,"""失敗5244"""
Dead#0,"""自分死亡5244"""
BuddyDead#0,"""相手死亡5244"""
Evolution#0,"""発展5244"""
Begin#1,"""/ci5 2 결론을 내리기엔 아직 빠른 것 같습니다만.<br>아, 마침 좋은 때 와주셨군요.<br>죄송합니다만, 도와주실 수 있겠습니까?"""
Success#1,"""/mn11 /ci1 2 그런 것 따위, 준비하지도 않았잖습니까.<br>죄송합니다, 귀중한 시간을 빼앗아 버렸습니다.<br>감사했습니다, 그럼 이만."""
Failure#1,"""/ci5 2 너무 방심했기 때문이잖습니까.<br>……폐를 끼쳐 드려 죄송했습니다.<br>일단, 철수하도록 하겠습니다."""
Dead#1,"""/mn13 큿……죄송합니다.<br>귀찮으시겠지만 협력을 부탁드립니다."""
BuddyDead#1,"""/mn11 ……뭐어, 괜찮겠지요.<br>저와 당신이라면, 충분합니다."""
