11_voice_NPC_5162_111#0,"""What do you want to know~?"""
text01#0,"""What is \""Black Nyack\""?"""
text02#0,"""How to play \""Black Nyack\"" (Basic)"""
text03#0,"""How to play \""Black Nyack\"" (Advanced)"""
text04#0,"""Leave"""
text00#0,"""About \""Black Nyack\"""""
text01#1,"""Let me tell you about \""Black Nyack\"".<br><br>Black Nyack is a casino game that can be<br>played with up to five players at once.<br><br>At each table, you can win Casino Coins<br>by defeating the dealer."""
text02#1,"""The goal of the game is to get a total score<br><red>as close to 21 as possible<c>, without going over 21.<br>If your score is closer to 21 than the<br>dealer's, you win.<br>If your total score <red>exceeds 21, you lose<c>, and<br>the Casino Coins you bet will be forfeited.<br>If your total score is the same as the dealer's,<br>it's a draw, and the Casino Coins you bet will be<br>refunded in full.<br><br>The challenge comes from deciding whether you want<br>to stick with the cards you're dealt, or to draw<br>more in hopes of increasing your score."""
text03#1,"""Cards are divided into four suits:<br>spades, hearts, clubs and diamonds.<br>Each suit has 13 cards, from ace to king,<br>for a total of 52 cards.<br><br>After every game, the cards are shuffled."""
text04#1,"""\""The score of an ace\""<br>An ace (A) can count as either 1 or 11 points,<br>depending on the player's choice.<br><br>\""The score of jacks through kings\""<br>A jack (J), queen (Q) or king (K) counts as 10 points.<br><br>※The dealer will always draw a card if their<br>total score is 16 or lower.<br>They will typically stop drawing if they have<br>17 or more, but may decide on a whim to take<br>a chance at another draw.<br><br>※When your total score is 21, you will<br>automatically \""STAY\""."""
text05#0,"""<red>Special Card<c><br><br>The score of these special cards is decided<br>by a die roll.<br>Every time one of them is drawn, a die is<br>rolled to determine the new score.<br>If more than one Special Card is drawn, the<br>value of all die rolls is added together.<br>The dice rolled by dealers and players are<br>different, and thus have different outcomes.<br><br>The current score of Special Cards is shown<br>in the top right of the screen while playing."""
text00#1,"""About How to Play \""Black Nyack\"" (Basic)"""
text01#2,"""\""How to play Black Nyack\""<br><br>Black Nyack is a card game that can be played<br>with up to 5 players competing against<br>one dealer.<br><br><red>If you want to play with your friends, just<br>sit down at the same table.<c>"""
text02#2,"""You can start playing by occupying any<br>empty seat at any table.<br>When entering, please select your first bet.<br>The dealer will match your bet, so the higher<br>it is, the more Casino Coins you can<br>potentially win.<br><br>Casino Coins are paid out after each game.<br><br>If you want to continue playing, select a<br>new bet after the game ends.<br><br>※After every game, the cards are shuffled."""
