name_7224#0,"""Cиторе"""
ssn_019070_002_0001#0,"""Спасибо, что подошёл(ла).<br>Позволь мне ещё раз представиться."""
ssn_019070_002_0002#0,"""Меня зовут Ситоре. Я сотрудник логистической поддержки<br>ARKS Централ-Сити и отвечаю за менеджмент припасов<br>и боевую поддержку."""
ssn_019070_002_0003#0,"""Недавно были подтверждены более сильные враги.<br>Число раненых увеличилось, и, похоже, все медики заняты."""
ssn_019070_002_0004#0,"""Так что, я даю советы по улучшению снаряжения,<br>чтобы каждый ARKS мог сражаться с сильными врагами."""
ssn_019070_002_0005#0,"""В общем, может это не моё дело, но не мог(ла)<br>бы ты пройти эту программу?"""
ssn_019070_002_0006#0,"""Прежде всего стоит начать со сбора средст для усиления.<br>Альфа реакторы собирать очень просто и быстрее всего,<br>так что - рекомендую."""
ssn_019070_002_0007#0,"""Если будешь искать по всему Эарио,<br>то обязательно наткнёшься."""
ssn_019070_002_0008#0,"""Ну чтож, постарайся!"""
ssn_019070_002_0009#0,"""Даров, ну как ты? Я всё ещё пытаюсь найти безопасный<br>маршрут для транспортировки."""
ssn_019070_002_0010#0,"""С возвращением! Снаряжение можно будет<br>улучшить с помощью собранного ранее..."""
ssn_019070_002_0011#0,"""Знаешь ли ты про врага, называемого Капитаном?"""
ssn_019070_002_0012#0,"""Он отличается от сильных врагов, которых в последнее время<br>становится всё больше, и, похоже что, отличается<br>от DOLLS и альтеров."""
ssn_019070_002_0013#0,"""...Нуу, оставлю подобные расследования на Шанди или Ран..."""
ssn_019070_002_0014#0,"""Что важно, с этого капитана выпадают капсулы с особыми<br>способностями, что необходимо для улучшения снаряжения."""
ssn_019070_002_0015#0,"""...Это загадочный враг, но он помогает нам."""
ssn_019070_002_0016#0,"""Так что, я хочу, чтобы ты поискал(а) его."""
ssn_019070_002_0017#0,"""Конечно же, для улучшения твоего снаряжения."""
ssn_019070_002_0018#0,"""О, ты уже вернулся(ась)!"""
ssn_019070_002_0019#0,"""Теперь ты готов(а) к улучшению своего снаряжения.<br>Осталось пройти к лаборатории предметов."""
ssn_019070_002_0020#0,"""Только тебе решать, какое оружие и как улучшать."""
ssn_019070_002_0021#0,"""Было бы здорово, если бы ты использовал(а) это оружие<br>для того, чтобы разобратсья с врагами."""
ssn_019070_002_0022#0,"""Да! На этом программа закончена. Интересно, пришлось<br>ли тебе по вкусу меню этой программы..."""
ssn_019070_002_0023#0,"""Хотелось бы поблагодарить тебя за участие в программе."""
ssn_019070_002_0024#0,"""Кроме того, если у твоих товарищей возникнут проблемы<br>с улучшением снаряжения, я была бы признательна,<br>если бы ты дала им советы, основанные на<br>полученном опыте."""
ssn_019070_002_0025#0,"""Ну тогда, надеюсь поработать с тобой и в будущем!"""
ssn_019070_002_0026#0,"""Логистика - спасательный круг в битве!<br>Даже если враг станет немного сильнее, я не проиграю!。"""
ssn_019070_002_0027#0,"""Тебе стоит тренировать свой ум, тело и снаряжение,<br>так что, постарайся!"""
npc_menu_0001#0,"""Обмен билетов （до <utcymdt>2022-6/8/2:00</utcymdt>）"""
npc_menu_0002#0,"""Обмен очков сезона （до <utcymdt>2022-6/8/2:00</utcymdt>）"""
npc_menu_0003#0,"""О событии сезона"""
npc_menu_0004#0,"""Закрыть меню"""
npc_menu_0005#0,"""Событие сезона"""
npc_menu_0006#0,"""Персонаж события сезона"""
npc_menu_0007#0,"""Ежедневные/еженедельные задачи"""
npc_menu_0008#0,"""Озорные символы"""
npc_menu_0009#0,"""Собираемый материал сезона"""
npc_menu_0010#0,"""Mag события сезона"""
npc_menu_0011#0,"""Враги сезона"""
npc_menu_0012#0,"""Мировое Испытание"""
npc_menu_0013#0,"""Капитан"""
npc_menu_0014#0,"""Не о сём спросить"""
