Title#0,"""Force: Entrenamiento Básico"""
Summary#0,"""Hornyan, instructor de ARKS,<br>te enseña a luchar como Force.<br><br><yellow>※Habilidad de clase recomendada:<br>Photon Flare<c>"""
Objective311#0,"""Establecer la clase principal como Force"""
text0101#0,"""Establecer la clase principal como Force"""
Objective321#0,"""Ve a Mt. Magnus"""
text0102#0,"""Ve a South Aerio como Force"""
text0103#0,"""Usa Photon Flare"""
Objective322#0,"""Usa Photon Flare"""
Objective323#0,"""Derrota enemigos en Mt. Magnus como Force"""
text0104#0,"""Derrota enemigos en South Aerio como Force"""
Objective331#0,"""Reportar a Hornyan"""
