Title#0,"""Hunter: Entrenamiento Básico"""
Summary#0,"""Dantre, el instructor de entrenamiento de ARKS,<br>te enseña a luchar como Hunter.<br><br><yellow>※Habilidades de clase recomendadas:<br>Massive Hunter<c>"""
Objective311#0,"""Establecer la clase principal en Hunter"""
text0101#0,"""Establecer la clase principal en  Hunter"""
Objective321#0,"""Ve a Mt. Magnus"""
text0102#0,"""Ve a South Aerio como Hunter"""
text0103#0,"""Usa Massive Hunter"""
Objective322#0,"""Usa Massive Hunter"""
Objective323#0,"""Derrota enemigos en Mt. Magnus como Hunter"""
text0104#0,"""Derrota enemigos en South Aerio como Hunter"""
Objective331#0,"""Reportar a Dantre"""
