name_7008#0,"""롯사"""
msn_011065_001_0010#0,"""롯사야.<br>잘 부탁해."""
msn_011065_001_0020#0,"""내가 가르쳐 주는 건 “무기 강화”에 대한 거야."""
msn_011065_001_0030#0,"""무기나 방어구는,<br>단련시켜서 성능을 올릴 수 있어."""
msn_011065_001_0040#0,"""다시 말해, 우리같은 아크스들과 똑같다는 거지."""
msn_011065_001_0050#0,"""……아닌가?"""
msn_011065_001_0060#0,"""……아니구나."""
msn_011065_001_0070#0,"""아니, 맞나……?"""
msn_011065_001_0080#0,"""강화에는 “강화소재”라 불리는<br>다른 무기들과, “그라인더”라는게 필요해."""
msn_011065_001_0090#0,"""음-, 각각 모아와 줘……라기엔<br>좀 귀찮네."""
msn_011065_001_0100#0,"""이번엔 둘 다 줄테니<br>“아이템 랩”에서 강화해 봐."""
msn_011065_001_0401#0,"""프림 소드를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0402#0,"""프림 너클을 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0403#0,"""프림 라이플을 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0404#0,"""프림 머신건을 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0405#0,"""프림 로드를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0406#0,"""프림 완드를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0501#0,"""프림 소드를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0502#0,"""프림 너클을 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0503#0,"""프림 라이플을 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0504#0,"""프림 머신건을 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0505#0,"""프림 로드를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0506#0,"""프림 완드를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0101#0,"""오, 잘 왔어!<br>전력은 언제나 환영이라고!"""
msn_011065_001_0102#0,"""팍팍 활약해줘!<br>기대하고 있으니까!"""
msn_011065_001_0201#0,"""너, 착실히 힘을 키우고있구나.<br>든든한걸."""
msn_011065_001_0202#0,"""크로포드도 놀라고 있는 모양이고 말이야.<br>뭐, 그런 느낌으로 계속 열심히 해!"""
msn_011065_001_0407#0,"""프림 카타나를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0507#0,"""프림 카타나를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0408#0,"""프림 부츠를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0508#0,"""프림 부츠를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_001_0409#0,"""プリムタクトを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0509#0,"""プリムタクトを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0410#0,"""プリムスラッシュを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0510#0,"""プリムスラッシュを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
