ssc_504030_0010#0,"""……흠."""
ssc_504030_0020#0,"""………."""
ssc_504030_0030#0,"""……으음."""
ssc_504030_0040#0,"""뭐하고 있어?"""
ssc_504030_0050#0,"""일해?"""
ssc_504030_0060#0,"""어이쿠, 너구나."""
ssc_504030_0070#0,"""지금은 \""센트럴 캐논\""의<br>데이터를 체크하던 참이야."""
ssc_504030_0080#0,"""응?<br>아아, 너구나."""
ssc_504030_0090#0,"""마침 \""센트럴 캐논\""의<br>데이터를 체크하던 참이야."""
ssc_504030_0100#0,"""온 김에<br>네게 이 병기에 대해서 좀 얘기해줄게."""
ssc_504030_0110#0,"""센트럴 캐논……이라고 우리는 부르고 있지만<br>정확히는 단발 포톤 입자포라고 하는 것 같아."""
ssc_504030_0120#0,"""같다……라고 말한 건,<br>이것도 로스트 테크놀러지 중 하나거든."""
ssc_504030_0130#0,"""누가, 언제, 왜 만들었는지,<br>같은 부분은 아직 해명하지 못했어."""
ssc_504030_0140#0,"""평소에는 통신탑으로서<br>이 센트럴 시티의 생활기반의 일부를 맡고 있어."""
ssc_504030_0150#0,"""여기같은 지하공간하고도 이어져 있으니,<br>시티의 토대라고도 할 수 있지."""
ssc_504030_0160#0,"""……이 시티의 센트럴 캐논은<br>처음엔 부서져 있었어."""
ssc_504030_0170#0,"""그걸 수리하기 시작한 게 내 조부님,<br>반포드였어."""
ssc_504030_0180#0,"""아니, 부서져 있었다기보단<br>미완성이었다가 맞겠네."""
ssc_504030_0190#0,"""처음엔 빠진 부분이<br>상당히 많았었나 봐."""
ssc_504030_0200#0,"""구조 해석이나 필요 부품 제조에<br>막대한 시간이 필요했어."""
ssc_504030_0210#0,"""조부님과 아버지 대에는<br>가동시키지 못했어."""
ssc_504030_0220#0,"""그걸 이어받은 게<br>나인 셈이지만……그게, 여러 가지로 큰일이거든……."""
ssc_504030_0230#0,"""어떻게 사격 가능한 수준까지 오긴 했지만,<br>아직 개량의 여지가 많아."""
ssc_504030_0240#0,"""특히 우리가 개발한 부품은<br>내구성이 문제가 있어."""
ssc_504030_0250#0,"""실은……, 꽤 예전에<br>시험 사격을 한 번 해 본 적이 있어."""
ssc_504030_0260#0,"""이 센트럴 타워에서<br>샵 에리어 방향 너머에, 산 하나가 보이지?"""
ssc_504030_0270#0,"""설마……."""
ssc_504030_0280#0,"""마히나파리산?"""
ssc_504030_0290#0,"""맞아. 저기 보이는 산의 구멍이<br>센트럴 캐논 시험 사격의 흔적이야."""
ssc_504030_0300#0,"""그래.<br>저 산의 형태가 바로 시험 사격의 흔적이야."""
ssc_504030_0310#0,"""원래 더 낮은 출력으로 실험하려 했는데,<br>설정을 잘못해서 당시의 최대출력으로 쏴버렸거든."""
ssc_504030_0320#0,"""포신은 손상됐고,<br>제어계통도 일부가 파손됐어."""
ssc_504030_0330#0,"""그래서 설계상의 부주의를 알게 됐지."""
ssc_504030_0340#0,"""나로선 실패한 일의 기억이라<br>부끄럽지만서도……."""
ssc_504030_0350#0,"""개발이 한 걸음 진전된 증거이기도 하니,<br>복잡한 기분이야."""
ssc_504030_0360#0,"""그런 식으로 시행착오를 거쳐서<br>겨우겨우 실사용 단계까지 올 수 있었던 거야."""
ssc_504030_0370#0,"""하지만 유감스럽게도,<br>이제부턴 여유가 별로 없어."""
ssc_504030_0380#0,"""더 많이 개수하기 위해선<br>많은 힘이 필요해."""
ssc_504030_0390#0,"""너희의 활약에도 기대하고 있어."""
ssc_504030_0400#0,"""다시 한 번, 잘 부탁할게."""
