name_7008#0,"""롯사"""
msn_011065_0010#0,"""오, 드디어 내 차례군."""
msn_011065_0020#0,"""직접 얼굴을 보며 얘기하고 싶으니<br>여기까지 와 줘. 기다릴게."""
msn_011065_0030#0,"""롯사다.<br>잘 부탁해."""
msn_011065_0040#0,"""내가 알려줄 건 \""무기 강화\""에 대해서야."""
msn_011065_0050#0,"""무기나 방어구라는 건<br>단련하면 성능이 좋아져."""
msn_011065_0060#0,"""강화에는 \""강화 소재\""라고 불리는<br>다른 무기 같은 거랑 \""N-그라인더\""라는 게 필요해."""
msn_011065_0070#0,"""음~ 각각 모아 와 줘…라고 하는 것도<br>왠지 귀찮네."""
msn_011065_0080#0,"""이번에는 둘 다 줄 테니<br>\""아이템 랩\""에서 강화해 봐."""
msn_011065_0401#0,"""프림 소드를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0402#0,"""프림 너클을 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0403#0,"""프림 라이플을 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0404#0,"""프림 머신건을 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0405#0,"""프림 로드를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0406#0,"""프림 완드를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0501#0,"""프림 소드를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0502#0,"""프림 너클을 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0503#0,"""프림 라이플을 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0504#0,"""프림 머신건을 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0505#0,"""프림 로드를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0506#0,"""프림 완드를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0407#0,"""프림 카타나를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0507#0,"""프림 카타나를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0408#0,"""프림 부츠를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0508#0,"""프림 부츠를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0409#0,"""프림 택트를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0509#0,"""프림 택트를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0410#0,"""프림 슬래시를 10개, N-그라인더를 10개, 10000<pict reb_meseta>메세타를 입수했습니다."""
msn_011065_0510#0,"""프림 슬래시를 2개, N-그라인더를 2개, 2000<pict reb_meseta>메세타를 입수했습니다."""
