ssc_501010_0010#0,"""아!<br><%me>도 와 있었구나."""
ssc_501010_0020#0,"""난 지금부터<br>아크스 활동일지를 쓰려던 참이야."""
ssc_501010_0030#0,"""오늘은 무슨 에너미와 싸웠는지,<br>어떤 광석을 찾았는지……."""
ssc_501010_0040#0,"""그 날 있던 일들을 적어두는 거야."""
ssc_501010_0050#0,"""처음에는 마논이 보여준 일지를<br>따라서 시작한 건데……."""
ssc_501010_0060#0,"""마논이 쓴 일지에는<br>엄청 사소한 것까지 적혀 있더라."""
ssc_501010_0070#0,"""에너미마다 약점이나 습성이라던가,<br>광석을 구한 장소나 사용처라던가."""
ssc_501010_0080#0,"""가끔씩 보여달라고 하는데,<br>엄청 도움 됐어."""
ssc_501010_0090#0,"""가르치는 것도 굉장히 잘하고."""
ssc_501010_0100#0,"""선생님같네."""
ssc_501010_0110#0,"""의외로 열심히 공부하는구나."""
ssc_501010_0120#0,"""선생님?"""
ssc_501010_0130#0,"""응, 그렇네.<br>마논은 내 선생님이야."""
ssc_501010_0140#0,"""의외라니, 너무하네."""
ssc_501010_0150#0,"""이래봬도, 어엿한 아크스가 되려고<br>노력하는 중이라구."""
ssc_501010_0160#0,"""……에아리오 타운에서 지낼 적에는<br>배우는 게 별로 없었거든."""
ssc_501010_0170#0,"""예전에도 말했듯이, 아빠가<br>「아크스가 되기엔 아직 이르다!」같은 소리만 했으니."""
ssc_501010_0180#0,"""그래서 마논이 우리 마을에 오고부턴<br>여러 가지를 배울 수 있게 됐어."""
ssc_501010_0190#0,"""그냥 내가 마논이랑<br>붙어 다니는 것 뿐이지만."""
ssc_501010_0200#0,"""에너미와 싸우는 법이나,<br>먹을 수 있는 야채나 과일 같은 것."""
ssc_501010_0210#0,"""아크스에게 필요한 지식은<br>전부 마논한테 배웠어."""
ssc_501010_0220#0,"""그러니까, 마논은 내게 있어 선생님같은 존재고,<br>아크스로서의 목표고……."""
ssc_501010_0230#0,"""항상 내 곁에 있어주는<br>언니같은 존재야."""
ssc_501010_0240#0,"""……그, 그러니까, 그런 마논만큼<br>강해질 수 있도록 열심히 하고 있다는 거야!"""
ssc_501010_0250#0,"""물론, 너하고도 말이야."""
ssc_501010_0260#0,"""그럼 난 이제 갈테니까.<br>또 봐!"""
