ssc_501030_0010#0,"""어?\u3000<%me>!<br>무슨 일이야?\u3000이런 곳에서."""
ssc_501030_0020#0,"""아이나야말로."""
ssc_501030_0030#0,"""어쩌다 보니……."""
ssc_501030_0040#0,"""나는 야채나 과일 모으러 왔는데……."""
ssc_501030_0050#0,"""에헤헤, 나도 그래."""
ssc_501030_0060#0,"""이 포드, 아직도 남아 있었구나."""
ssc_501030_0070#0,"""포드의 파츠는 귀중해서<br>금방 회수된다고 하던데."""
ssc_501030_0080#0,"""………."""
ssc_501030_0090#0,"""여기서 모든 게 시작된 거구나……."""
ssc_501030_0100#0,"""왠지 조금 그리워지네.<br>그렇게 오래 지나지도 않았을텐데, 엄청 옛날 일처럼 느껴져."""
ssc_501030_0110#0,"""네가 저 포드로 하늘에서 떨어지고."""
ssc_501030_0120#0,"""다크 펄스가 나타나서,<br>에아리오 타운이……."""
ssc_501030_0130#0,"""………."""
ssc_501030_0140#0,"""나 말이야,<br>그 때부터 몇 번이나 생각해 봤어."""
ssc_501030_0150#0,"""나는<br>지금의 나 자신을 어떻게 생각하는 걸까, 하는."""
ssc_501030_0160#0,"""힘든 일도 많이 있었지만,<br>그만큼 즐거운 일도 많이 있었으니까."""
ssc_501030_0170#0,"""너나 마논하고 셋이서,<br>많은 걸 경험했으니까."""
ssc_501030_0180#0,"""아크스로서도,<br>조금은 성장하지 않았을까?"""
ssc_501030_0190#0,"""뭐어, 아빠가 들으면<br>한참 멀었다고 한 소리 들었겠지만."""
ssc_501030_0200#0,"""그래도, 이렇게 경험을 쌓아가다 보면<br>언젠가 반드시 어엿한 아크스가 될 수 있을 것 같아."""
ssc_501030_0210#0,"""그러니까, 고마워!"""
ssc_501030_0220#0,"""지금의 내가 이렇게 있을 수 있는 건,<br>너랑 마논 덕분이야."""
ssc_501030_0230#0,"""이런 걸 네게 직접 말하는 건 조금 쑥스럽지만.<br>꼭 말해주고 싶었어."""
ssc_501030_0240#0,"""<%me>.<br>앞으로도 잘 부탁해!"""
