msc_011260_0010#0,"""여기야 여기."""
msc_011260_0020#0,"""크로퍼드에게 받은 데이터에서<br>돌즈의 분포도를 알아냈어."""
msc_011260_0030#0,"""이 숲은 강적이 모여있는 것 같네."""
msc_011260_0040#0,"""이쪽 해안은 비교적 안전해.<br>…조금 부족할지도."""
msc_011260_0050#0,"""이 연구소 유적은…"""
msc_011260_0060#0,"""아크스 전원에게 전달."""
msc_011260_0070#0,"""\""레졸의 숲\"", \""반포드 연구소 유적\""에서<br>돌즈의 출현을 확인했습니다."""
msc_011260_0080#0,"""근처의 아크스는<br>경계 태세로 이행해주세요."""
msc_011260_0090#0,"""여긴 아이나."""
msc_011260_0100#0,"""아이나 씨? 무슨 일이세요?"""
msc_011260_0110#0,"""우리도 움직일 수 있어.<br>뭘 하면 돼?"""
msc_011260_0120#0,"""그럼 반포드 연구소 유적으로 가주시겠나요?<br>현지 상황보고를 부탁드릴게요."""
msc_011260_0130#0,"""레졸의 숲 쪽은<br>브루더 부대가 가고 있어요."""
msc_011260_0140#0,"""알았어. 곧 출발할께."""
msc_011260_0150#0,"""연구소 유적…<br>뭐 지금 우리 수준에 딱 좋을지도 몰라."""
msc_011260_0160#0,"""해당 에어리어에 다른 아크스가 있는 것 같습니다.<br>그들과 합류해 대응해 주세요."""
msc_011260_0170#0,"""알겠어."""
msc_011260_0180#0,"""나는 이대로 갈 수 있는데<br>둘 다 준비는 됐어?"""
msc_011260_0190#0,"""지금부터 할게!"""
msc_011260_0200#0,"""너도<br>준비가 되면 집합이야."""
