msc_011450_0010#0,"""무사히 잘 돌아와 줬구나."""
msc_011450_0020#0,"""이 세 사람 덕분이지.<br>이번엔 나도 좀 위험했어."""
msc_011450_0030#0,"""모두 고마워."""
msc_011450_0040#0,"""설마<br>그 넥스 에아리오를 쓰러뜨릴 줄이야…."""
msc_011450_0050#0,"""크로포드, 그 넥스 에아리오의 체구에서<br>그 부품을 얻었어."""
msc_011450_0060#0,"""그렇구나!<br>즉시 개발부에 연락을…."""
msc_011450_0070#0,"""부품?"""
msc_011450_0080#0,"""음…."""
msc_011450_0090#0,"""…그래, 너희에게도 얘기할게."""
msc_011450_0100#0,"""이건…?"""
msc_011450_0110#0,"""우리가 개발하고 있는<br>대 다크 펄스의 비장의 카드야."""
msc_011450_0120#0,"""우리 몸에 흐르는 \""포톤\"".<br>다크 펄스나 돌즈는 이 특별한 힘에 약해."""
msc_011450_0130#0,"""하지만 다크 펄스는 너무 강대해서<br>약점 코어를 두꺼운 체구가 감싸고 있어."""
msc_011450_0140#0,"""그래서 실력자인 가로아 씨도<br>완전히 막아낼 순 없었고."""
msc_011450_0150#0,"""개개인 아크스의 힘으로는 한계가 있어.<br>그래서 우린 다른 방법이 없는가 찾아 봤어."""
msc_011450_0160#0,"""포톤은 대기중에도 존재하고<br>그 양은 우리 몸 안에 있는 것보다 훨씬 많아."""
msc_011450_0170#0,"""대기중의 포톤을 모아 몇 배로 압축해서…<br>쏠 수 있다면 다크 펄스의 체구를 꿰뚫고."""
msc_011450_0180#0,"""코어에 직접 압축한 포톤을 집중 방사할 수 있는 것이지."""
msc_011450_0190#0,"""그걸 가능하게 해주는 것이, 초대구경<br>단장 포톤 입자포…\""센트럴 캐논\""이야."""
msc_011450_0200#0,"""센트럴 캐논…."""
msc_011450_0210#0,"""예전에 너희들에게 도움을 빌리고 싶다고<br>말했던 이유 중 하나가 이거야."""
msc_011450_0220#0,"""다크 펄스의 재습격이 얼마 안 남았으니,<br>개발 페이스를 앞당겨야 해."""
msc_011450_0230#0,"""하지만 그걸 위한 자재가 아직 부족하거든."""
msc_011450_0240#0,"""완성하기 위해 자재를 모으려면,<br>이 에아리오의 힘만으로는 부족해."""
msc_011450_0250#0,"""다른 리전에 있는<br>아크스들의 협력이 필요해."""
msc_011450_0260#0,"""너희가 나중에 그 중개를<br> 도와줬으면 해."""
msc_011450_0270#0,"""그 말은 즉 우리가<br>다른 리전에 부탁하러 간다는 건가?"""
msc_011450_0280#0,"""너희에게 모두 떠맡기진 않을 거야.<br>다른 센트럴 소속 아크스도 함께 할 거야."""
msc_011450_0290#0,"""우선은 동쪽의 리템 리전으로<br>가게 될 거야."""
msc_011450_0300#0,"""자세한 계획은<br>준비가 갖추어지면 연락할게."""
msc_011450_0310#0,"""그 전까진<br>힘을 길러 줘."""
msc_011450_0320#0,"""응, 알았어! 리템 리전이라…<br>어떤 곳일까?"""
