ssc_501020_0010#0,"""어? 어쩐 일이야?"""
ssc_501020_0020#0,"""아이나가 보이길래."""
ssc_501020_0030#0,"""가로아 성묘하러."""
ssc_501020_0040#0,"""그렇구나."""
ssc_501020_0050#0,"""……가끔 오거든.<br>여기."""
ssc_501020_0060#0,"""그렇구나.<br>고마워."""
ssc_501020_0070#0,"""……나도,<br>가끔씩 오고 있어."""
ssc_501020_0080#0,"""아빠한테 여러 가지 보고하려고."""
ssc_501020_0090#0,"""오늘 있었던 일이라던가,<br>다음에 무슨 일을 할 계획인지 같은 거."""
ssc_501020_0100#0,"""산소를 관리하면서 이런저런 얘기하다 보면,<br>점점 마음이 차분해지거든."""
ssc_501020_0110#0,"""그러다 옛날 일이 생각나곤 해……."""
ssc_501020_0120#0,"""혼자 글라이드 연습하다가,<br>큰 나무에 걸리는 바람에 못 내려오기도 하고."""
ssc_501020_0130#0,"""테임즈를 쫓아가다가<br>정신이 들고 보니 길을 잃어버리기도 하고."""
ssc_501020_0140#0,"""그럴 때마다 아빠가 쏜살같이 달려와서<br>엄청 호되게 혼났어."""
ssc_501020_0150#0,"""아무도 없는 곳에서<br>위험한 짓 하지 말라고."""
ssc_501020_0160#0,"""나랑 아빠가 그러고 있으면<br>마을 사람들도 뛰어 와서……."""
ssc_501020_0170#0,"""걱정해 주고 위로해 주고,<br>아빠한테 너무 혼낸다고 화내거나……."""
ssc_501020_0180#0,"""……옛날에 그러면<br>\""특별취급\"" 받는 것 같아서 싫었는데."""
ssc_501020_0190#0,"""……하지만 지금은, 정말로 날 소중하게<br>생각해 줬다는 걸 알게 됐어."""
ssc_501020_0200#0,"""………."""
ssc_501020_0210#0,"""마을 사람들이랑……,<br>아빠랑 못 만나게 된 건……."""
ssc_501020_0220#0,"""……쓸쓸해."""
ssc_501020_0230#0,"""……아이나."""
ssc_501020_0240#0,"""……괜찮아?"""
ssc_501020_0250#0,"""……괜찮아."""
ssc_501020_0260#0,"""아빠와 마을 사람들이 남겨준 목숨이니까<br>소중히 해야지."""
ssc_501020_0270#0,"""……응, 괜찮아."""
ssc_501020_0280#0,"""아직 해야 할 일이 잔뜩 있으니까.<br>지금은 앞만 보려고."""
ssc_501020_0290#0,"""그럼 오늘 있던 일도 보고하려는데."""
ssc_501020_0300#0,"""너도 같이 할래?"""
