ssc_504010_0010#0,"""안녕, 너구나."""
ssc_504010_0020#0,"""매일 노력하고 있구나.<br>매번 고마워."""
ssc_504010_0030#0,"""별 일도 아닌데 뭘."""
ssc_504010_0040#0,"""크로포드야말로."""
ssc_504010_0050#0,"""아니, 너희 활약은<br>충분히 대단한 수준이야."""
ssc_504010_0060#0,"""에이, 난<br>난 너희에게 도움만 받았는걸."""
ssc_504010_0070#0,"""마침 너희의 활동기록을<br>보고 있던 참이었어."""
ssc_504010_0080#0,"""이건 마논이 정리해 준 거야."""
ssc_504010_0090#0,"""낭비도, 누락도 없는 완벽한 레포트야."""
ssc_504010_0100#0,"""마논이 그런 걸?"""
ssc_504010_0110#0,"""나도 그런 걸 쓰는 게 나을까?<br>"""
ssc_504010_0120#0,"""마논은<br>꼬박꼬박 써서 보내주거든."""
ssc_504010_0130#0,"""독자적인 고찰도 있어서<br>가끔 놀라기도 해."""
ssc_504010_0140#0,"""매번 큰 도움을 받고 있어."""
ssc_504010_0150#0,"""괜찮아, 마음 내킬 때에만 해줘도 돼."""
ssc_504010_0160#0,"""아이나도 간혹 보내주긴 하지만,<br>시간을 꽤 많이 들이는 것 같아."""
ssc_504010_0170#0,"""이런 레포트는<br>보통 오퍼레이터들이 깔끔하게 정리해 주니까."""
ssc_504010_0180#0,"""정작 나는 할 일이 없어.<br>편하게 차나 마시면서 기다릴 뿐이야."""
ssc_504010_0190#0,"""밖도 마찬가지로, 돌즈와의 전투는<br>브루더가 제대로 지휘해 주고."""
ssc_504010_0200#0,"""요즘은 란과 오퍼레이터와의 연계도<br>제대로 잡혀가고 있어."""
ssc_504010_0210#0,"""……뭐어, 옛날엔 많이 고생하긴 했지만."""
ssc_504010_0220#0,"""거기다 지금은 너희들도 있지."""
ssc_504010_0230#0,"""마지막 쯤 되면, 난 이 의자에<br>앉아 있는 게 일인 사람이 될지도 모르겠네. 후후후."""
ssc_504010_0240#0,"""……그래도,<br>현 상태가 계속 유지될 거라는 보장은 어디에도 없어."""
ssc_504010_0250#0,"""어디 한 군데라도 금이 가면,<br>그 길로 한순간에 무너져 버릴지도 몰라."""
ssc_504010_0260#0,"""그렇게 되지 않도록,<br>제2, 제3의 플랜을 짜두는 게 내가 할 일이겠지."""
ssc_504010_0270#0,"""애초에 금이 가지 않도록 예방하는 것도."""
ssc_504010_0280#0,"""이 센트럴 시티의 리더로서의 역할은<br>확실하게 해낼테니, 안심해도 돼."""
ssc_504010_0290#0,"""그럼, 란이 부탁한 일도 있으니<br>나도 일하러 가야겠네."""
ssc_504010_0300#0,"""아, 그렇지."""
ssc_504010_0310#0,"""만약 괜찮으면,<br>또 얼굴 보러 와 줘."""
ssc_504010_0320#0,"""네 근황도<br>듣고 싶거든."""
ssc_504010_0330#0,"""그럼 기다릴게."""
