ssc_502010_0010#0,"""……후우."""
ssc_502010_0020#0,"""수고했어."""
ssc_502010_0030#0,"""무슨 고민 있어?"""
ssc_502010_0040#0,"""……꺄악!?"""
ssc_502010_0050#0,"""……흐엣!?"""
ssc_502010_0060#0,"""까, 깜짝 놀랐어.<br>너도 와 있었구나……."""
ssc_502010_0070#0,"""네가 있는 줄도 모를 정도로 정신을 놓고 있던 건가.<br>나도 방심하고 있었네."""
ssc_502010_0080#0,"""……혼자 있고 싶을 땐<br>줄곧 여기로 오곤 하거든."""
ssc_502010_0090#0,"""물 소리를 듣다 보면,<br>먹먹한 가슴이 편해져서."""
ssc_502010_0100#0,"""마논도 기분전환을 하는구나."""
ssc_502010_0110#0,"""무슨 일 있었어?"""
ssc_502010_0120#0,"""그야, 나도 기분전환하고 싶을 때는 있다구."""
ssc_502010_0130#0,"""별 일 없어.<br>……라고 할 정도도 아니네."""
ssc_502010_0140#0,"""여러 가지로 반성할 것들이 많으니까."""
ssc_502010_0150#0,"""그 때 그랬으면 좋았을텐데.<br>이랬어야 했는데."""
ssc_502010_0160#0,"""내 행동들을<br>계속 후회하곤 해……."""
ssc_502010_0170#0,"""………."""
ssc_502010_0180#0,"""아이나는 날 굉장한 사람이라고<br>생각하는 것 같지만."""
ssc_502010_0190#0,"""지식이 있다고 해도<br>실적이 없으면 아무 의미도 없어."""
ssc_502010_0200#0,"""정말 굉장한 건<br>아이나 쪽이야."""
ssc_502010_0210#0,"""……그런 일이 있었는데,<br>항상 앞만 보고 나아가려 하고 있어."""
ssc_502010_0220#0,"""자기 안에 틀어박히지도 않고,<br>게다가 분노에 미쳐서 자기를 잊어버리지도 않고."""
ssc_502010_0230#0,"""그런 애가 나를 목표로 삼았다면,<br>나도 그 기대를 저버려서는 안 돼."""
ssc_502010_0240#0,"""그러니까 적어도 그 애 앞에서는,<br>강한 척 연기하고 싶어."""
ssc_502010_0250#0,"""어?<br>내가 왜 이런 이야기를 하고 있었지……."""
ssc_502010_0260#0,"""후후후, 넌 참 신기한 사람이야."""
ssc_502010_0270#0,"""멍하니 있는 것처럼 보일 때도 많지만<br>마지막엔 뭐든지 받아줄 것 같은 느낌이 들어."""
ssc_502010_0280#0,"""네 그런 면 덕에<br>아이나도 널 신뢰하는 건지도 몰라."""
ssc_502010_0290#0,"""……지금 한 얘기들은<br>아이나에겐 비밀로 해줄 수 있을까?"""
ssc_502010_0300#0,"""언젠가 솔직하게 이야기할 날이 올지도 모르지만,<br>……아직은 아니니까."""
ssc_502010_0310#0,"""약속……한 거다?"""
