ssc_503030_0010#0,"""아아, 너군."""
ssc_503030_0020#0,"""뭐하고 있었어?"""
ssc_503030_0030#0,"""마그너스산……."""
ssc_503030_0040#0,"""임무를 끝내고<br>돌아가려던 참이다."""
ssc_503030_0050#0,"""이 곳에 너와 있으면,<br>그 날 일이 생각나는군."""
ssc_503030_0060#0,"""……그래."""
ssc_503030_0070#0,"""이러고 있으니,<br>그 날 일이 생각나는군."""
ssc_503030_0080#0,"""너와 아이나, 마논의 첫 임무."""
ssc_503030_0090#0,"""기초훈련을 막 끝낸 차였는데도<br>너희는 아주 잘 싸워줬다."""
ssc_503030_0100#0,"""트레이니아에서의 움직임을 보고<br>즉시 실전에 투입할 수 있겠다 판단한 건 나지만……."""
ssc_503030_0110#0,"""설마 정말로 훈련 직후에 전투를 보낼 줄이야."""
ssc_503030_0120#0,"""……결과적으론<br>크로포드의 판단이 옳았던 모양이지만."""
ssc_503030_0130#0,"""너와 마논의 적응력은<br>내려온지 얼마 안 된 \""별을 건너는 자\"" 중에서도 빼어나다."""
ssc_503030_0140#0,"""그 기세로 자기의 길을 가다오."""
ssc_503030_0150#0,"""하물며, 아이나는 가족을 잃었고,<br>자신도 부상에서 회복하자마자 투입됐지."""
ssc_503030_0160#0,"""듣자하니, 당시엔 무기의 취급도<br>익숙지 않았다던데."""
ssc_503030_0170#0,"""그런데도 그 난전을 치르다니,<br>무시무시한 정신력과 담력이야."""
ssc_503030_0180#0,"""너희 \""별을 건너는 자\""에 비하면<br>그녀는 아직 원석과도 같다."""
ssc_503030_0190#0,"""하지만 경험을 쌓으면<br>얼마든지 성장할 가능성을 숨기고 있어."""
ssc_503030_0200#0,"""가장 중요한 건<br>마음가짐이다."""
ssc_503030_0210#0,"""그녀는 결과를 내기 위해<br>조바심을 내고 있는 것 같더군."""
ssc_503030_0220#0,"""그러는 한편, 에아리오 타운의 비극은<br>이성적으로 받아들이려 하고 있어."""
ssc_503030_0230#0,"""분노에 사로잡히지도 않고……."""
ssc_503030_0240#0,"""분노와 증오는<br>강해지고자 하는 마음을 왜곡해 버린다."""
ssc_503030_0250#0,"""지금처럼<br>스스로를 갈고 닦는다면 아무 문제도 없을 거야."""
ssc_503030_0260#0,"""천천히, 착실하게."""
ssc_503030_0270#0,"""너와 마논은<br>그 아이를 지켜봐다오."""
ssc_503030_0280#0,"""아니…….<br>마논도 마음 속에 고민을 끌어안고 있다."""
ssc_503030_0290#0,"""네 행동으로<br>그녀들을 이끌어다오."""
