ssc_503010_0010#0,"""너였군."""
ssc_503010_0020#0,"""마침 잘 됐어.<br>잠깐 이야기 좀 할 수 있을까."""
ssc_503010_0030#0,"""나는 지금도<br>도저히 믿기지가 않아서 말이야."""
ssc_503010_0040#0,"""그 에아리오 타운이 이렇게 되다니."""
ssc_503010_0050#0,"""에아리오 타운은<br>에아리오 남부에서 서방에 걸친 방어 요소였어."""
ssc_503010_0060#0,"""센트럴 시티에선<br>산에 가로막힌 사각지대를 대신 맡아주는 곳이었지."""
ssc_503010_0070#0,"""돌즈는 바다에서 침공하는 경우도 많아.<br>언제, 어디서 나타날지는 지금도 예측이 어려워."""
ssc_503010_0080#0,"""그들은 그런 상황 속에서도<br>갖은 공격에 즉각 대응하고 확실하게 물리쳐냈다."""
ssc_503010_0090#0,"""그 덕에 센트럴 시티에<br>위험이 미치는 일은 오랫동안 없었지."""
ssc_503010_0100#0,"""중요한 임무를 맡아온 만큼,<br>모두 손 꼽히는 강자들이었어."""
ssc_503010_0110#0,"""그 중에서도 특히나 가로아는 백미로 꼽혔지……."""
ssc_503010_0120#0,"""마음가짐, 기술, 신체가 고루 균형을 이루고,<br>셋 모두 높은 수준을 갖추었어."""
ssc_503010_0130#0,"""경험에 따른 직관력,<br>그리고 결단력도 뛰어났지."""
ssc_503010_0140#0,"""……에아리오 타운과 센트럴 시티 사이에선<br>정기적으로 합동훈련을 했었어."""
ssc_503010_0150#0,"""악감정을 가진 건 아니지만,<br>난 그를 라이벌로 여겼지."""
ssc_503010_0160#0,"""그 시절엔<br>가로아와도 자주 겨루곤 했는데."""
ssc_503010_0170#0,"""마지막까지 단 한 번도 이기지 못했어."""
ssc_503010_0180#0,"""브루더가 한 번도……."""
ssc_503010_0190#0,"""훈련이라서 봐 준 거야?"""
ssc_503010_0200#0,"""그래.<br>단 한 번도."""
ssc_503010_0210#0,"""난 항상 전력을 다했다."""
ssc_503010_0220#0,"""봐 준 건 오히려<br>가로아 쪽이었겠지."""
ssc_503010_0230#0,"""난 그를 이길 기회를 영영 잃은 셈이지."""
ssc_503010_0240#0,"""그 정도로 강한 아크스는<br>이제 나타나지 않을지도 몰라."""
ssc_503010_0250#0,"""싸울 때는 폭풍우와도 같았지만,<br>평소에는 넉살 좋은 사내였어."""
ssc_503010_0260#0,"""함께 있으면 내 시답잖은 고민따윈<br>날아가 버릴 것만 같은 편안함이 있었다."""
ssc_503010_0270#0,"""다른 아크스들도<br>다정한 녀석들 뿐이었고……."""
ssc_503010_0280#0,"""………."""
ssc_503010_0290#0,"""……그들의 죽음을 헛되이 하고 싶지 않아."""
ssc_503010_0300#0,"""<%me>,<br>앞으로도, 함께 힘내자."""
