ssc_503050_0010#0,"""이런 곳에서 너와 만나다니."""
ssc_503050_0020#0,"""혹 시간이 있다면<br>잠시 얘기할 수 있을까."""
ssc_503050_0030#0,"""고맙다."""
ssc_503050_0040#0,"""신인 아크스를 지도하던 참인데."""
ssc_503050_0050#0,"""그들이 트레이니아를 답파할 때까지<br>잠시 기다리는 시간이 생겼어."""
ssc_503050_0060#0,"""그럼 바로 본론으로 들어가지."""
ssc_503050_0070#0,"""요즘 마논의 상태는 어떤가?"""
ssc_503050_0080#0,"""마논이 왜?"""
ssc_503050_0090#0,"""무슨 소리야?"""
ssc_503050_0100#0,"""마논은 우수한 아크스다.<br>전투원으로서도, 기술자로서도, 연구원으로서도."""
ssc_503050_0110#0,"""하지만 그녀에겐 어딘가 그림자가 있어.<br>그게 나쁜 쪽으로 작용하지 않을까 우려된다."""
ssc_503050_0120#0,"""너도 눈치챘을지 모르겠지만,<br>마논에겐 어딘가 그림자가 있어."""
ssc_503050_0130#0,"""그녀는 우수한 아크스지만,<br>그 면이 나쁜 쪽으로 작용하지 않을까 우려된다."""
ssc_503050_0140#0,"""마논의 근심의 원인이<br>무엇인지는 모른다."""
ssc_503050_0150#0,"""스스로 말해주지 않는 이상<br>남이 파헤칠 만한 일은 아니지."""
ssc_503050_0160#0,"""하지만 주저와 망설임은<br>전투의 감을 둔하게 만든다."""
ssc_503050_0170#0,"""가끔은 잘못된 선택을 하는<br>방아쇠가 되기도 하지."""
ssc_503050_0180#0,"""그 때 한 실수는<br>개인만이 아니라 주변에도 영향을 끼칠 수도, 있다."""
ssc_503050_0190#0,"""……이건<br>전투 경험으로 얻은 내 교훈이다."""
ssc_503050_0200#0,"""아이나는 자기 과거를 정면으로 마주하고,<br>그걸 넘어서려 하고 있어."""
ssc_503050_0210#0,"""하지만 마논은 자기 고민을<br>계속 끌어안고 있는 것처럼 보인다."""
ssc_503050_0220#0,"""그런 류의 고민은<br>자칫하면 어느 순간에 터져 버리는 법이야……."""
ssc_503050_0230#0,"""혹, 마논이 도움을 청하면<br>너희가 먼저 받아들여 주었으면 한다."""
ssc_503050_0240#0,"""항상 함께 다니는 너희라면,<br>작은 변화도 눈치챌 수 있겠지."""
ssc_503050_0250#0,"""팀이란,<br>그저 힘을 합치는 것만이 아니야."""
ssc_503050_0260#0,"""마음까지 통하고 나서야 비로소<br>진정한 팀이라 할 수 있지."""
ssc_503050_0270#0,"""그걸 잊지 말아다오."""
ssc_503050_0280#0,"""……후우.<br>어째 설교하는 것처럼 되어버렸군."""
ssc_503050_0290#0,"""그래, 슬슬 신인들이<br>트레이니아에서 나올 때가 됐군."""
ssc_503050_0300#0,"""내가 불러 세워 놓고 미안하지만,<br>이 정도로 하지."""
ssc_503050_0310#0,"""이야기를 들어줘서 고맙다."""
ssc_503050_0320#0,"""마논을,<br>잘 부탁한다."""
