msc_011170_0010#0,"""…저, 저기… 나는…."""
msc_011170_0030#0,"""싸움에 대한 공포는 누구에게나 있다.<br>그렇게 신경 쓸 문제는 아니야."""
msc_011170_0040#0,"""……."""
msc_011170_0050#0,"""하지만 그 공포를 이겨내지 못한다면<br>계속 싸우기는 어려울지도 모르지."""
msc_011170_0060#0,"""아이나, 눈을 감아 봐라."""
msc_011170_0070#0,"""거기에 보였던 것, 그게 네가 싸우는 이유다."""
msc_011170_0080#0,"""좋아, 괜찮아졌지?"""
msc_011170_0090#0,"""너희들은 센트럴 시티에 돌아가<br>크로포드에게 보고하도록."""
msc_011170_0100#0,"""당신은?"""
msc_011170_0110#0,"""나는 다음 돌즈를 토벌하러 가겠다."""
msc_011170_0120#0,"""……알겠어."""
msc_011170_0130#0,"""앞으로의 활약을 기대하고 있으마."""
