ssc_502040_0010#0,"""……그렇구나.<br>이건, 그런 거였어……."""
ssc_502040_0020#0,"""하지만 그렇게 되면…….<br>……아, 그렇구나. 이 경우엔……."""
ssc_502040_0030#0,"""뭐하고 있어?"""
ssc_502040_0040#0,"""뭐 알아볼 게 있어?"""
ssc_502040_0050#0,"""햐으!?"""
ssc_502040_0060#0,"""아,<%me>……구나.<br>깜짝 놀랐어."""
ssc_502040_0070#0,"""으햐앗!?"""
ssc_502040_0080#0,"""아, 마, 맞아.<br>알아볼 게 있어서."""
ssc_502040_0090#0,"""……전에도 이런 적이 있었지."""
ssc_502040_0100#0,"""에너미는 금세 눈치채는데,<br>너 무슨 기척 지우는 훈련이라도 한 거야?"""
ssc_502040_0110#0,"""……뭐 어때."""
ssc_502040_0120#0,"""지금은 여기 반포드 연구소에 대해서<br>조사하던 참이야. 개인적으로."""
ssc_502040_0130#0,"""반포드라는 이름은<br>크로퍼드의 조부님의 이름에서 따왔다나 봐."""
ssc_502040_0140#0,"""이 연구시설이 전투로 파괴되기 전에<br>여러 정보를 조사해서 아크스에게 기술을 전수했어."""
ssc_502040_0150#0,"""그 공적을 높이 사서<br>그의 이름을 땄다고 해."""
ssc_502040_0160#0,"""그의 성과는 지금의 센트럴 시티의 운영이나,<br>돌즈와의 전투에도 활용되고 있대."""
ssc_502040_0170#0,"""당시 있던 것들은 돌즈의 대공세로<br>전부 파괴됐고."""
ssc_502040_0180#0,"""반포드는 시설의 보전보단<br>남은 동료들을 먼저 구하기 위해 최전선에서 싸웠다고 해."""
ssc_502040_0190#0,"""……그러다, 세상을 떠났고."""
ssc_502040_0200#0,"""위인이구나……."""
ssc_502040_0210#0,"""그런 사람들이<br>이 할파에선 그렇게 쉽게 떠나가 버려."""
ssc_502040_0220#0,"""여긴, 정말로……."""
ssc_502040_0230#0,"""………."""
ssc_502040_0240#0,"""크로퍼드가 공격이 아닌 방어에 전념하고 있는 건<br>여기서 일어난 일과 관계 있을지도 몰라."""
ssc_502040_0250#0,"""그 사람도 잃는 걸 두려워하고 있어."""
ssc_502040_0260#0,"""그건 아마 옳은 판단이겠지."""
ssc_502040_0270#0,"""센트럴 시티 사람들이<br>마음 놓고 살 수 있는 건 그 덕분이야."""
ssc_502040_0280#0,"""나도 그걸 도와주고 싶어."""
ssc_502040_0290#0,"""나도 같은 생각이야."""
ssc_502040_0300#0,"""그걸 위해서 강해져야 해."""
ssc_502040_0310#0,"""응.<br>너라면 그렇게 말해줄 것 같았어."""
ssc_502040_0320#0,"""응, 그래.<br>네 말이 맞아."""
ssc_502040_0330#0,"""앞으로도,<br>잘 부탁할게."""
