msc_011330_0010#0,"""……후우"""
msc_011330_0020#0,"""잘 싸웠어. 아이나."""
msc_011330_0030#0,"""고마워 마논."""
msc_011330_0040#0,"""통신, 회복됐습니다.<br>다이달 격파 확인."""
msc_011330_0050#0,"""대단해요!<br>셋이서 쓰러뜨려 버리다니."""
msc_011330_0060#0,"""방금 그건?"""
msc_011330_0070#0,"""확인 중입니다.<br>…이건!?"""
msc_011330_0080#0,"""레졸의 숲에서 정찰 중이던<br>브루더 부대 신호 두절…."""
msc_011330_0090#0,"""뭐!?"""
msc_011330_0110#0,"""주변 상황을 확인하겠습니다!"""
msc_011330_0120#0,"""란, 아크스 전원에게 비상소집을."""
msc_011330_0130#0,"""알겠습니다."""
msc_011330_0140#0,"""크로퍼드의 비상소집입니다.<br>각자 센트럴 시티로 귀환해 주세요."""
msc_011330_0150#0,"""아, 알겠어."""
