Title#0,"""T:휘광을 부수는 모신"""
Explanation#0,"""『수호휘사』에게 긴급 연락.<br>위성 달과 지구에서<br>에테르 폭주와 함께 비정상적으로 거대한<br>환창종 반응을 감지했다.<br>지금까지 쌓은 모든 힘을 발휘해<br>단독으로 이를 격파하라.<br>극히 위험한 임무지만 완수를 바란다.<br>――――――――――――――――――――<br>최대 부여 데미지 제한/999999<br>실패 조건/임무 실패, 제한 시간 경과"""
SimpleExplanation#0,"""제한 시간 안에 모든 에너미를 격퇴하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
NpcComMsg1#0,"""지금부터 전송을 시작합니다.<br>첫 목표는 달 표면에 나타난<br>초거대 환창종 격파입니다."""
NpcComMsg2#0,"""목표를 확인하는 즉시<br>공격을 시작해 격파하십시오!<br>조심하세요!"""
NpcComMsg1#1,"""연전이지만<br>지구에 갑자기 나타난 거대 반응 부근으로<br>전송합니다."""
NpcComMsg2#1,"""힘든 싸움이 예상되지만<br>당신이라면 분명 괜찮을 겁니다!<br>부디 조심하세요!"""
Area0S#0,"""달 표면"""
Area0L#0,"""위성 달 달 표면"""
Area1S#0,"""환창의 기둥"""
Area1L#0,"""위성 달 환창의 기둥"""
Area2S#0,"""세계수"""
Area2L#0,"""행성 지구 세계수"""
Area3S#0,"""세계수 정상"""
Area3L#0,"""행성 지구 세계수 정상"""
Area1S#1,"""달 표면"""
Area1L#1,"""위성 달 달 표면"""
Area3S#1,"""이스터 섬"""
Area3L#1,"""행성 지구 이스터 섬"""
QuestInfoPlanetName#0,"""위성 달"""
