name010#0,"""버지"""
text010_A#0,"""이봐! 이 마을은 어때?<br>좋은 곳이지?"""
text020_A#0,"""안내 받고 싶으면<br>언제든지 말하라고."""
text010#0,"""오! 너구나.<br>응? 내가 찾고 있다고 들었다고?"""
text020#0,"""그래. 환영의 선물을 주고 싶어서 말이야.<br>뭔가 좋은 게 없을까 생각하고 있었지."""
text030#0,"""그래서 아주 멋진 선물이 생각났는데 말이지<br>어디에 두었는지 잊어버렸지 뭐야…."""
text040#0,"""좀 오래전에 아이템 컨테이너에<br>넣어둔 것은 기억이 나는데…."""
text050#0,"""어떤 컨테이너였는지….<br>끄응…."""
text060#0,"""미안! 왠지 본말전도지만<br>찾는 걸 도와주지 않을래?"""
text010_B#0,"""어때? 찾을 수 있을거 같아?"""
text010_C#0,"""마을은 충분히 돌아다녀봤어?<br>그렇다면 한번 가로아가 있는 곳으로 돌아가는게 좋을 지도."""
text010_D#0,"""그럼 지금 바로 장비 해봐."""
