name_7006#0,"""란"""
msn_011080_002_0020#0,"""마그너스산에 진입하기에 앞서,<br>전투의 조언을 드릴 수 있을까 싶어서요."""
msn_011080_002_0030#0,"""각 아크스의 능력은 “전투력”이라는<br>수치로 가시화 되어있어요."""
msn_011080_002_0040#0,"""이건 아크스 각자의 신체능력이나,<br>장비 중인 무기, 방어구 등의 능력을 계측하여 수치화한 것입니다."""
msn_011080_002_0050#0,"""개개인의 전투 센스같은 건 반영되지 않으니<br>어디까지나 수치에 불과하진…."""
msn_011080_002_0060#0,"""저희는 이 전투력을 기준으로 해서, 할파의 위험한 장소에<br>훈련중인 아크스가 들어가지 않도록 제한을 걸고 있습니다."""
msn_011080_002_0070#0,"""마그너스산도 그런 장소 중 하나구요."""
msn_011080_002_0080#0,"""기준이 되는 전투력을 제시해 둘테니<br>그 수치를 참고하셔서 전투 준비를 진행해 주세요."""
msn_011080_002_0090#0,"""이쪽에서 확실히 모니터링하고 있으니<br>열심히 해주세요."""
msn_011080_002_0101#0,"""어서오세요, 센트럴 시티에.<br>만나게 되서 기쁘네요."""
msn_011080_002_0102#0,"""지금부터 오퍼레이터로서<br>확실히 서포트해 드릴게요."""
msn_011080_002_0201#0,"""오퍼레이션의 방식으로,<br>이렇게 해줬음한다 라는<br>요망이 있으시다면 뭐든 말씀해 주세요."""
msn_011080_002_0202#0,"""여러분이 활동하기 좋으시도록<br>잘 대응하도록 할게요."""
