msc_010190_0010#0,"""설마…이렇게 될 줄이야…"""
msc_010190_0020#0,"""무슨 일이 있었어?"""
msc_010190_0030#0,"""아이나는?"""
msc_010190_0040#0,"""가로아 일행은?"""
msc_010190_0050#0,"""그 거대한 돌즈의 공격을 받고<br>우린 잠시 정신을 잃었던 것 같아…."""
msc_010190_0060#0,"""돌즈는 사라졌어.<br>하지만 에아리오 타운은 더 이상…."""
msc_010190_0070#0,"""아이나는…<br>우리보다 중상이라서…."""
msc_010190_0080#0,"""조금 전에 센트럴 시티에서 온 아크스가<br>치료를 위해 메디컬센터로 호송해 갔어."""
msc_010190_0090#0,"""조금 전까지 센트럴 시티의<br>아크스들이 수색하고 있었지만…"""
msc_010190_0100#0,"""아직까지 생존자는 찾지 못했어…."""
msc_010190_0110#0,"""계속 여기에 있을 수는 없겠지.<br>우리도 센트럴 시티로 가자."""
