msc_010250_0010#0,"""와아 여기 예쁜데."""
msc_010250_0020#0,"""…아이나."""
msc_010250_0030#0,"""…응? 왜?"""
msc_010250_0040#0,"""괜찮아?"""
msc_010250_0050#0,"""응. 괜찮은데?"""
msc_010250_0060#0,"""…미안해.<br>나, 사람의 감정을 읽는 게 서툴러서."""
msc_010250_0070#0,"""아니, 그렇지 않아.<br>…고마워 마논."""
msc_010250_0080#0,"""너도.<br>앞으로 잘 부탁해."""
msc_010250_0090#0,"""마논도."""
msc_010250_0100#0,"""저 돌즈…다크 펄스.<br>우리 셋의 힘으로 꼭 쓰러뜨리자!"""
msc_010250_alpha4_0010#0,"""준비된 숙소에서<br>잠깐의 휴식을 얻은 <%me>."""
msc_010250_alpha4_0020#0,"""이곳에서<br>아크스로서 첫걸음을 내디뎠다."""
name_01#0,"""나레이션"""
