name_7024#0,"""구이덴"""
msn_005002_0001#0,"""잘 와줬네.<br>나는 구이덴. 아크스의 교관을 맡고 있다."""
msn_005002_0002#0,"""아크스란… 이 땅에서<br>'돌즈' 일컫는 적과 싸우는 전사."""
msn_005002_0003#0,"""너를 그 아크스의 일원으로서 환영한다.<br>우리와 함께 돌즈랑 싸워주게."""
msn_005002_0004#0,"""…허나 네가 여기 온지 얼마 안됐지.<br>아직 모르는 것도 많을 거다."""
msn_005002_0005#0,"""내가 서포트할 테니<br>아크스로서의 마음가짐을 배웠으면 하네."""
msn_005002_0006#0,"""코쿤은 센트럴 시티를 서쪽으로 나가면 그 주변에 있다네."""
msn_005002_0007#0,"""우선은… '코쿤'으로 실력 테스트를 해야겠네.<br>코쿤은 아크스의 훈련장 같은 곳이다."""
msn_005002_0008#0,"""거기서 기본적인 기능을 습득할 수 있을 걸세.<br>힘내게."""
msn_005002_0101#0,"""코쿤의 위치는<br>아까와 마찬가지로 좌표를 보내놨네."""
msn_005002_0102#0,"""가이드 마커가 가리키는 곳으로 가주게."""
msn_005002_0103#0,"""어떤 곳인진<br>가 보면 알 수 있을 걸세."""
msn_005002_0201#0,"""좋아 돌아왔군."""
msn_005002_0202#0,"""그럼 다음으로 넘어가지."""
msn_005002_0203#0,"""이 넓은 대지에서 신출귀몰한 적과 싸우는 것은 힘든 일이다.<br>그래서 편리한 이동 수단을 알려주겠다."""
msn_005002_0204#0,"""가이드 마커가 가리키는 장소에<br>'류커 디바이스'라고 하는 거대한 장치가 있다."""
msn_005002_0205#0,"""그쪽으로 가주게."""
msn_005002_0301#0,"""무슨 일이지? 류커 디바이스라네.<br>가이드 마커가 있는 곳으로 가면 되네."""
msn_005002_0302#0,"""서두르지 말고 임해 주게."""
