name_7006#0,"""스탓기"""
msn_011350_020_0001#0,"""센트럴에 잘 와줬어! 환영한다고!"""
msn_011350_020_0002#0,"""계속해서 싸우고, 이기고, 벌어서,<br>지금보다도 좋은 장비를 맞춰가자!"""
msn_011350_020_0101#0,"""뭐야 뭐야?"""
msn_011350_020_0102#0,"""뭐? 싸움에 도움되는 지식을 원한다고?"""
msn_011350_020_0103#0,"""그걸 기다렸어!"""
msn_011350_020_0104#0,"""알겠어? 잘 들어...<br>무기는…“합체”할 수 있어!"""
msn_011350_020_0105#0,"""“멀티 웨폰”이라 하는데 말야!<br>한번 만들어보지 않을래?"""
msn_011350_020_0106#0,"""멀티 웨폰은 아이템 랩에서 만들 수 있다고."""
msn_011350_020_0107#0,"""같은 종류의 무기라면<br>아이템 랩에서 뭐든지 조합해준다고."""
msn_011350_020_0108#0,"""그리고 합체 시킬 땐<br>촉매인 “광석”도 잊지 않도록 해!"""
msn_011350_020_0109#0,"""그리고 이번엔 대 서비스다!<br>내걸 나눠줄테니까 랩에 가봐!"""
msn_011350_020_0201#0,"""포톤 쿼츠를 20개, 50000<pict reb_meseta>메세타를 입수했습니다."""
msn_011350_020_0301#0,"""포톤 쿼츠를 2개, 200<pict reb_meseta>메세타를 입수했습니다."""
msn_011350_020_0401#0,"""어때?<br>멀티웨폰을 만들어본 느낌은?"""
msn_011350_020_0402#0,"""어떤 원리인지는 모르겠지만,<br>합체란 로망이야!"""
msn_011350_020_0403#0,"""게다가 무기가 합체하면 공격의 폭도 넓어질테니까!<br>엄청 두근두근 거려!"""
msn_011350_020_0404#0,"""이것저것 시험해보고<br>멋진 무기를 만들어줘"""
