msc_010060_0010#0,"""아직 더 남았어!?"""
msc_010060_0020#0,"""우오오오오오오오!"""
msc_010060_0030#0,"""아빠!?"""
msc_010060_5010#0,"""하압!"""
msc_010060_5020#0,"""으라아!"""
msc_010060_0040#0,"""휴우. 괜히 걱정돼서 와 보니, 역시나."""
msc_010060_0050#0,"""아이나, 마논. 무사하니?"""
msc_010060_0060#0,"""좋아.<br>…근데 그 쪽은?"""
msc_010060_0070#0,"""가로아다.<br>잘 부탁해."""
msc_010060_0080#0,"""내려온 지 얼마 안됐다면<br>뭐가 뭔지 하나도 모르겠지."""
msc_010060_0090#0,"""…마논처럼<br>여러가지 알고 있다거나…."""
msc_010060_0100#0,"""…하진 않은 것 같고."""
msc_010060_0110#0,"""…마을로 돌아가서 얘기할까.<br>아이나, 마논, \""레스타 사인\""은 다 모았나?"""
msc_010060_0120#0,"""아 그랬지!<br>모아야 해."""
