name_7024#0,"""구이덴"""
msn_005012_0001#0,"""무슨 일이지? 류커 디바이스라네.<br>가이드 마커가 있는 곳으로 가면 되네."""
msn_005012_0101#0,"""좋아. 돌아온 모양이군."""
msn_005012_0102#0,"""류커 디바이스는 각지에 흩어져 있네.<br>발견하면 그때그때 사용할 수 있도록 해두면 좋을 걸세."""
msn_005012_0103#0,"""자 그럼 우리의 적<br>'돌즈'에 대해 이야기 하지."""
msn_005012_0104#0,"""돌즈는 수수께끼에 쌓인 존재다."""
msn_005012_0105#0,"""어디서 오는지, 왜 우리를 습격하는지<br>단 하나도 알지 못한다네. 살아있는지 조차도."""
msn_005012_0106#0,"""아크스는 오랜 세월에 걸쳐 그 미지의 적과 싸움을 펼치고 있다."""
msn_005012_0107#0,"""앞으로 너도 돌즈와 싸우게 된다네.<br>그걸 위해 아크스로서 힘을 늘려갔으면 하네."""
msn_005012_0108#0,"""센트럴 시티에는 숙련된 아크스들이 많이 있다.<br>그들한테서 전투기술을 배우면 되겠지. 내가 이야기를 해두도록 하마."""
msn_005012_0109#0,"""그 외에도, 우수한 연구원이나 직원들이,<br>네게 어드바이스를 줄 터다."""
msn_005012_0110#0,"""적극적으로 말을 걸어봐 주게."""
msn_005012_0201#0,"""음. 순조롭게 힘을 기르고 있는 것 같군."""
msn_005012_0202#0,"""하지만 아직도 배워야 할 것이 많이 남아 있네.<br>계속해서 모두에게 이야기를 걸어보면 좋을 걸세."""
