msc_011220_0010#0,"""와 줘서 고마워."""
msc_011220_0020#0,"""…나 말이야, 아빠의 가르침이 항상 불만이었어."""
msc_011220_0030#0,"""너는 아직 미숙하니까<br>정식 아크스로 인정할 수 없다고 말이야."""
msc_011220_0040#0,"""나, 아빠의 딸이니까<br>누구보다 강한 아크스가 될 수 있을텐데."""
msc_011220_0050#0,"""그런데도 왜 같이 싸우게 해주지 않냐고, 말이야."""
msc_011220_0060#0,"""…이번 싸움에서 그 이유을 겨우 알게 됐어."""
msc_011220_0070#0,"""브루더가 싸우는 이유를 물어봐서 눈을 감았을 때<br>에아리오 타운 사람들의 얼굴이 떠올랐어."""
msc_011220_0080#0,"""예전의 나는 아크스를 동경하기만 하고,<br>무엇을 위해 싸우는지 생각해 본 적도 없었어."""
msc_011220_0090#0,"""틀림없이 아빠는 그걸 꿰뚫어 보셨던 거야."""
msc_011220_0100#0,"""잃고 나서 깨달아 봤자 늦는데 말이야."""
msc_011220_0110#0,"""게다가 나는 싸움이 어떤 건지<br>하나도 모르고 있었어."""
msc_011220_0120#0,"""나그루스의 몸이 붉게 빛났을 때<br>다리가 떨리고…움직이질 못해서…."""
msc_011220_0130#0,"""그래서…무서웠어."""
msc_011220_0140#0,"""…싸우는 게 무서운 게 아니라…."""
msc_011220_0150#0,"""이렇게 둘과 같이 있다 보면<br>민폐를 끼치는 게 아닐까 싶어서."""
msc_011220_0160#0,"""…그래서, …나는…."""
msc_011220_0170#0,"""…아이나."""
msc_011220_0180#0,"""크로퍼드 앞에서 약속했던 거 잊었어?"""
msc_011220_0190#0,"""어?"""
msc_011220_0200#0,"""협력한다고 했잖아.<br>그건 너에게 말한 거라구?"""
msc_011220_0210#0,"""……마논."""
msc_011220_0220#0,"""함께 다크펄스를 쓰러트릴 거잖아?"""
msc_011220_0230#0,"""마논…, 고마워."""
msc_011220_0240#0,"""나, 두 사람처럼 돌즈와 싸울 수 있게<br>강해지고 싶어."""
msc_011220_0250#0,"""그러니까 힘을 빌려줘.<br>나와 함께…싸워주었으면 해.""""
msc_011220_0260#0,"""그러니까, 그…처음부터 그럴 생각이었대두."""
msc_011220_0270#0,"""고마워…두 사람 다.<br>…정말 고마워."""
