msc_011440_5010#0,"""하!"""
msc_011440_5020#0,"""얍!"""
msc_011440_5030#0,"""토우!"""
msc_011440_5040#0,"""하아아아아앗!"""
msc_011440_0010#0,"""……해냈어."""
msc_011440_0020#0,"""열심히 했어, 아이나."""
msc_011440_0030#0,"""모두 고마워!"""
msc_011440_0040#0,"""훌륭한 움직임이었다.<br>그 짧은 시간동안 멋지게 성장했구나."""
msc_011440_0050#0,"""브루더의 조언 덕분이야."""
msc_011440_0060#0,"""통신 회복됐습니다.<br>넥스 에아리오의 반응 소멸? 이건……."""
msc_011440_0070#0,"""크로퍼드, 임무 완료다.<br>지금부터 귀환하겠다."""
msc_011440_0080#0,"""브루더!"""
msc_011440_0090#0,"""……그래, 그렇게 해줘."""
msc_011440_0100#0,"""……돌아가자."""
