msc_011060_0010#0,"""…조금만 기다려 다오."""
msc_011060_0020#0,"""끝났어."""
msc_011060_0030#0,"""…아, 저도…."""
msc_011060_0040#0,"""좋아, 잘했어, 편하게 있도록 해."""
msc_011060_0050#0,"""당신도 같은 훈련을 받았나 보네?"""
msc_011060_0060#0,"""셋 모두 신체능력,<br>에너미를 상대하는 기능, 모두 문제 없다."""
msc_011060_0070#0,"""아이나는 '별을 건너는 자' 두 사람과 비교해도<br>손색 없을 정도의 스코어였다."""
msc_011060_0080#0,"""에? 정말?<br>…에헤헤."""
msc_011060_0090#0,"""꽤 훌륭한 팀이 될 것 같군."""
msc_011060_0100#0,"""이 정도면 당장이라도 최전선에서 활약할 수 있겠지.<br>크로퍼드에게도 그렇게 전하겠다."""
msc_011060_0110#0,"""함께 돌즈와 싸우자."""
msc_011060_0120#0,"""마지막으로 한 가지,<br>이런 장소는 할파 각지에 있다."""
msc_011060_0130#0,"""그리고 각각 다른 구조로 되어있어서<br>독자적인 전투기능을 습득할 수 있다."""
msc_011060_0140#0,"""적극적으로 방문하여 기술 향상에 노력해주길 바란다."""
