name_7004#0,"""크로퍼드"""
msn_011062_0010#0,"""아, 와줘서 고마워."""
msn_011062_0020#0,"""너흰 계속해서<br>이곳의 지식을 배웠으면 해."""
msn_011062_0030#0,"""특히, 넌 이 할파에 온 지 얼마 안 됐어.<br>아직 모르는 게 많을 거야."""
msn_011062_0040#0,"""오퍼레이터들에게 너를 지원하라고 했어.<br>자세한 건 그들에게 물어줘."""
msn_011062_0050#0,"""그래. 우선 류린에게<br>말을 걸어볼래?"""
msn_011062_0101#0,"""함께 싸워줘서 고마워."""
msn_011062_0102#0,"""앞으로 힘든 싸움이 기다리고 있지만<br>힘내길 바래. 잘 부탁해."""
msn_011062_0201#0,"""곤란한 일이 있으면<br>뭐든 부담 갖지 말고 말해 줬으면 해."""
msn_011062_0202#0,"""오퍼레이터들도<br>분명 상담에 응해 줄 거야."""
msn_011062_0301#0,"""위험한 임무에 지원해 줘서 고마워."""
msn_011062_0302#0,"""아까도 말했듯이 넥스 에아리오는 강적이야.<br>충분히 주의해 줘."""
msn_011062_0303#0,"""브루더 건은 부탁할게."""
msn_011062_0401#0,"""\""코쿤\""이라고 하는 훈련에 최적인 장소에서 교관이 기다리고 있어.<br>자세한 건 그에게 물어봐 줘."""
msn_011062_0402#0,"""제대로 준비를 하고 갔으면 좋겠어.<br>잘 부탁해."""
